# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	propellerTip	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.867897e-05	propellerTip	(-2.754910e+01 -2.679661e+01 -1.220377e+01)	(2.802251e+01 7.765621e+01 5.706965e+01)
1.740001e-04	propellerTip	(-3.714135e+00 -4.546776e+00 -4.376025e+00)	(3.686865e+00 1.771568e+01 5.943033e+00)
2.921534e-04	propellerTip	(-3.710345e+00 -4.687178e+00 -3.302224e+00)	(3.705285e+00 8.016713e+00 3.195805e+00)
4.184629e-04	propellerTip	(-3.170951e+00 -4.978450e+00 -4.004028e+00)	(3.191751e+00 4.640927e+00 4.042108e+00)
5.493893e-04	propellerTip	(-2.767518e+00 -5.303418e+00 -4.595596e+00)	(2.630722e+00 2.851701e+00 4.645335e+00)
6.810150e-04	propellerTip	(-2.790623e+00 -5.605606e+00 -5.052133e+00)	(2.760772e+00 2.566283e+00 5.084305e+00)
8.131820e-04	propellerTip	(-3.487468e+00 -5.838384e+00 -5.496831e+00)	(3.478030e+00 2.596203e+00 5.528393e+00)
9.465668e-04	propellerTip	(-4.016865e+00 -6.007530e+00 -5.965398e+00)	(4.015263e+00 2.654143e+00 6.000979e+00)
1.081369e-03	propellerTip	(-4.096129e+00 -6.134000e+00 -6.188499e+00)	(4.122248e+00 2.723133e+00 6.215838e+00)
1.216871e-03	propellerTip	(-4.048632e+00 -6.234307e+00 -6.293757e+00)	(4.060616e+00 2.803518e+00 6.311189e+00)
1.352223e-03	propellerTip	(-3.994140e+00 -6.316610e+00 -6.289209e+00)	(4.011502e+00 2.891766e+00 6.302233e+00)
1.486899e-03	propellerTip	(-3.986467e+00 -6.387158e+00 -6.300087e+00)	(3.981816e+00 2.986646e+00 6.313137e+00)
1.620793e-03	propellerTip	(-4.185396e+00 -6.450355e+00 -6.323931e+00)	(4.147372e+00 3.088629e+00 6.334425e+00)
1.754167e-03	propellerTip	(-4.378601e+00 -6.512023e+00 -6.334506e+00)	(4.340355e+00 3.194650e+00 6.340418e+00)
1.887238e-03	propellerTip	(-4.563844e+00 -6.574304e+00 -6.320465e+00)	(4.524682e+00 3.300986e+00 6.320549e+00)
2.020149e-03	propellerTip	(-4.740995e+00 -6.650304e+00 -6.278668e+00)	(4.700846e+00 3.406954e+00 6.273038e+00)
2.152992e-03	propellerTip	(-4.908511e+00 -6.729209e+00 -6.195081e+00)	(4.867585e+00 3.511510e+00 6.184224e+00)
2.285767e-03	propellerTip	(-5.063846e+00 -6.809832e+00 -6.077657e+00)	(5.022259e+00 3.619089e+00 6.062456e+00)
2.418474e-03	propellerTip	(-5.204139e+00 -6.890400e+00 -5.937664e+00)	(5.163230e+00 3.731565e+00 5.919283e+00)
2.551139e-03	propellerTip	(-5.329586e+00 -6.966427e+00 -5.781580e+00)	(5.288199e+00 3.851289e+00 5.761010e+00)
2.683750e-03	propellerTip	(-5.441972e+00 -7.029059e+00 -5.613375e+00)	(5.400483e+00 3.974291e+00 5.591093e+00)
2.816318e-03	propellerTip	(-5.539238e+00 -7.086778e+00 -5.434066e+00)	(5.497429e+00 4.089286e+00 5.410299e+00)
2.948902e-03	propellerTip	(-5.619341e+00 -7.145489e+00 -5.243188e+00)	(5.577659e+00 4.204783e+00 5.222196e+00)
3.081472e-03	propellerTip	(-5.679901e+00 -7.212281e+00 -5.065671e+00)	(5.638435e+00 4.322269e+00 5.056064e+00)
3.213926e-03	propellerTip	(-5.721164e+00 -7.284617e+00 -4.890180e+00)	(5.679769e+00 4.443199e+00 4.881130e+00)
3.346171e-03	propellerTip	(-5.747849e+00 -7.344537e+00 -4.707271e+00)	(5.705854e+00 4.570094e+00 4.698737e+00)
3.478175e-03	propellerTip	(-5.758269e+00 -7.392043e+00 -4.517382e+00)	(5.716144e+00 4.703861e+00 4.509660e+00)
3.609937e-03	propellerTip	(-5.749880e+00 -7.433595e+00 -4.770020e+00)	(5.708025e+00 4.834492e+00 4.791015e+00)
3.741524e-03	propellerTip	(-5.720724e+00 -7.470499e+00 -5.065356e+00)	(5.678776e+00 4.966598e+00 5.092550e+00)
3.872968e-03	propellerTip	(-5.670704e+00 -7.500184e+00 -5.381906e+00)	(5.628515e+00 5.093595e+00 5.410872e+00)
4.004348e-03	propellerTip	(-5.766904e+00 -7.524718e+00 -5.704427e+00)	(5.664290e+00 5.219153e+00 5.735043e+00)
4.135749e-03	propellerTip	(-5.880321e+00 -7.547078e+00 -6.030753e+00)	(5.769845e+00 5.343885e+00 6.062256e+00)
4.267202e-03	propellerTip	(-5.982990e+00 -7.573433e+00 -6.358042e+00)	(5.863531e+00 5.466055e+00 6.391084e+00)
4.398728e-03	propellerTip	(-6.077344e+00 -7.595848e+00 -6.687504e+00)	(5.947551e+00 5.587560e+00 6.721718e+00)
4.530358e-03	propellerTip	(-6.162401e+00 -7.620673e+00 -7.016722e+00)	(6.023050e+00 5.707087e+00 7.051954e+00)
4.662137e-03	propellerTip	(-6.233032e+00 -7.646980e+00 -7.343223e+00)	(6.082428e+00 5.821207e+00 7.379889e+00)
4.794104e-03	propellerTip	(-6.289244e+00 -7.674406e+00 -7.665499e+00)	(6.130972e+00 5.932368e+00 7.703579e+00)
4.926291e-03	propellerTip	(-6.334956e+00 -7.699553e+00 -7.981834e+00)	(6.170040e+00 6.041222e+00 8.021267e+00)
5.058731e-03	propellerTip	(-6.367016e+00 -7.719665e+00 -8.290078e+00)	(6.201961e+00 6.148449e+00 8.331367e+00)
5.191433e-03	propellerTip	(-6.384731e+00 -7.738759e+00 -8.588811e+00)	(6.236125e+00 6.251442e+00 8.632270e+00)
5.324357e-03	propellerTip	(-6.393588e+00 -7.754696e+00 -8.875770e+00)	(6.270226e+00 6.355025e+00 8.921389e+00)
5.457463e-03	propellerTip	(-6.402236e+00 -7.764990e+00 -9.148805e+00)	(6.298191e+00 6.458701e+00 9.196191e+00)
5.590683e-03	propellerTip	(-6.384904e+00 -7.771359e+00 -9.406433e+00)	(6.286911e+00 6.560391e+00 9.455320e+00)
5.723945e-03	propellerTip	(-6.418777e+00 -7.774580e+00 -9.646637e+00)	(6.309800e+00 6.661026e+00 9.696027e+00)
5.857217e-03	propellerTip	(-6.418992e+00 -7.776361e+00 -9.866900e+00)	(6.303319e+00 6.757927e+00 9.916234e+00)
