# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	0.000000e+00	0.000000e+00	0.000000e+00
0             	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0             	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0             	propellerTip	6.853713e-01	9.152659e+00	2.823149e+00
6.8679e-05    	walls	6.042816e-02	1.319943e+01	3.409522e+00
6.8679e-05    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
6.8679e-05    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
6.8679e-05    	propellerTip	8.894919e-01	1.239185e+03	2.236887e+01
0.000174      	walls	3.130087e-02	1.401951e+01	3.636023e+00
0.000174      	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000174      	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000174      	propellerTip	1.007044e+00	5.549976e+02	2.078743e+01
0.000292153   	walls	4.961213e-02	1.500778e+01	3.900340e+00
0.000292153   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000292153   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000292153   	propellerTip	1.075420e+00	3.021691e+02	1.965923e+01
0.000418463   	walls	7.003933e-02	1.604903e+01	4.178234e+00
0.000418463   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000418463   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000418463   	propellerTip	1.178304e+00	1.683428e+02	1.892904e+01
0.000549389   	walls	9.062653e-02	1.706583e+01	4.454636e+00
0.000549389   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000549389   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000549389   	propellerTip	1.417672e+00	1.238584e+02	1.847905e+01
0.000681015   	walls	2.529807e-02	1.802431e+01	4.719454e+00
0.000681015   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000681015   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000681015   	propellerTip	1.745458e+00	1.173909e+02	1.843772e+01
0.000813182   	walls	6.945523e-02	1.892876e+01	4.973785e+00
0.000813182   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000813182   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000813182   	propellerTip	2.076304e+00	1.152925e+02	1.882284e+01
0.000946567   	walls	6.275333e-02	1.978682e+01	5.218744e+00
0.000946567   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000946567   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000946567   	propellerTip	2.262148e+00	1.363831e+02	1.937159e+01
0.00108137    	walls	2.656102e-02	2.061908e+01	5.455506e+00
0.00108137    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00108137    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00108137    	propellerTip	2.239232e+00	1.406084e+02	1.990146e+01
0.00121687    	walls	7.899026e-02	2.141620e+01	5.683643e+00
0.00121687    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00121687    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00121687    	propellerTip	2.229756e+00	1.408287e+02	2.035006e+01
0.00135222    	walls	1.300245e-01	2.216928e+01	5.902242e+00
0.00135222    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
