# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.205773e-03 1.398196e+02 4.679216e-02) (2.555275e-06 -5.966991e-03 -1.587591e-05)) ((-1.049907e-03 -4.102726e+00 5.988637e-03) (-7.078948e-08 -3.474855e-03 -5.667079e-07))
1.39009e-05   	((-1.029023e-01 -6.004725e+01 -1.946841e+00) (5.621882e-05 -3.354839e-02 -4.184368e-04)) ((-6.163402e-03 5.225082e+00 -1.871394e-01) (-1.327505e-06 -7.636836e-03 -1.184200e-05))
1.8582e-05    	((-2.769266e+00 -2.220498e+03 -1.768783e+01) (-1.331752e-02 -1.486511e+00 -1.983976e-02)) ((-1.014495e+00 1.144111e+02 8.876155e-01) (-4.353093e-04 2.833742e-02 -1.083844e-03))
1.93121e-05   	((-3.414358e+00 -2.832018e+04 -3.542531e+02) (-4.846954e-02 -7.670868e+00 2.352025e-02)) ((-1.366287e+01 1.317500e+03 4.642595e+01) (-5.723565e-03 7.773196e-02 1.976899e-02))
1.96426e-05   	((2.904045e+02 -3.497454e+04 2.296472e+03) (-1.227176e-01 -2.146742e+01 1.756561e+00)) ((-6.844786e+01 1.554865e+03 3.469435e+02) (-4.237105e-02 4.597415e-01 2.226047e-01))
1.97358e-05   	((3.671824e+02 -1.662197e+04 4.138739e+03) (4.146425e-02 -1.487360e+01 2.692501e+00)) ((-7.177993e+01 7.723048e+02 4.611184e+02) (-4.962699e-02 4.546457e-01 2.752711e-01))
1.98334e-05   	((1.703152e+02 -4.558442e+03 2.002735e+03) (-6.430123e-02 -1.033611e+01 2.779124e+00)) ((-3.372821e+01 2.520425e+02 1.688642e+02) (-3.241575e-02 4.855476e-01 1.498910e-01))
1.9888e-05    	((1.076239e+01 -1.156438e+03 2.596778e+02) (3.577474e-01 -9.079861e+00 2.743637e+00)) ((-6.105733e+00 4.760032e+01 1.550502e+01) (-2.552502e-02 5.190826e-01 1.059991e-01))
1.99536e-05   	((6.022957e+00 -1.092846e+03 1.621010e+02) (6.105794e-01 -8.532725e+00 3.103955e+00)) ((-2.982563e+00 3.175564e+01 3.000295e+01) (-2.990073e-02 5.481188e-01 1.414463e-01))
2.00323e-05   	((6.893376e+00 -1.000912e+03 1.815355e+02) (6.682070e-01 -7.206561e+00 2.818103e+00)) ((-3.375734e+00 2.898212e+01 3.538361e+01) (-2.563947e-02 5.070771e-01 1.185328e-01))
2.01267e-05   	((7.550287e+00 -8.375778e+02 1.698808e+02) (6.253307e-01 -5.708766e+00 2.307549e+00)) ((-3.187499e+00 2.515302e+01 3.177195e+01) (-1.800741e-02 4.430853e-01 7.103407e-02))
2.02401e-05   	((6.351348e+00 -6.764727e+02 1.385738e+02) (5.497526e-01 -4.498154e+00 1.901830e+00)) ((-2.609755e+00 2.068305e+01 2.543356e+01) (-1.225040e-02 3.861211e-01 3.596792e-02))
2.03761e-05   	((5.043707e+00 -5.516092e+02 1.088667e+02) (4.580911e-01 -3.554686e+00 1.579426e+00)) ((-2.057172e+00 1.698514e+01 1.978908e+01) (-8.223722e-03 3.351902e-01 1.291118e-02))
2.05392e-05   	((4.091461e+00 -4.579374e+02 8.682331e+01) (3.705169e-01 -2.824599e+00 1.320703e+00)) ((-1.636681e+00 1.416586e+01 1.569875e+01) (-5.503754e-03 2.900246e-01 -1.339135e-03))
2.07351e-05   	((3.396122e+00 -3.859677e+02 7.014653e+01) (3.013849e-01 -2.255973e+00 1.105483e+00)) ((-1.310761e+00 1.199771e+01 1.262139e+01) (-3.628142e-03 2.484118e-01 -9.806402e-03))
2.09592e-05   	((2.823242e+00 -3.301303e+02 5.704169e+01) (2.469716e-01 -1.816421e+00 9.314635e-01)) ((-1.056414e+00 1.029542e+01 1.026656e+01) (-2.300418e-03 2.121889e-01 -1.475180e-02))
2.12021e-05   	((2.394047e+00 -2.858424e+02 4.668991e+01) (2.064846e-01 -1.485397e+00 8.018195e-01)) ((-8.588764e-01 8.948271e+00 8.439083e+00) (-1.413438e-03 1.821323e-01 -1.733576e-02))
2.14663e-05   	((2.097021e+00 -2.529649e+02 3.906442e+01) (1.725429e-01 -1.230742e+00 6.963155e-01)) ((-7.082905e-01 7.936825e+00 7.062190e+00) (-7.848735e-04 1.567210e-01 -1.856518e-02))
2.17536e-05   	((1.796212e+00 -2.245680e+02 3.256152e+01) (1.434422e-01 -1.031220e+00 6.108625e-01)) ((-5.857076e-01 7.053743e+00 5.907085e+00) (-3.674437e-04 1.350754e-01 -1.871814e-02))
2.20667e-05   	((1.515901e+00 -1.997956e+02 2.677417e+01) (1.194554e-01 -8.746190e-01 5.413210e-01)) ((-4.788997e-01 6.274376e+00 4.871801e+00) (-8.159012e-05 1.164154e-01 -1.829214e-02))
2.24074e-05   	((1.303394e+00 -1.780967e+02 2.231845e+01) (9.946745e-02 -7.506995e-01 4.841265e-01)) ((-3.947639e-01 5.592338e+00 4.073097e+00) (1.116221e-04 1.002166e-01 -1.746196e-02))
2.27778e-05   	((1.091848e+00 -1.592201e+02 1.844675e+01) (8.161597e-02 -6.521358e-01 4.365561e-01)) ((-3.257753e-01 4.992757e+00 3.399131e+00) (2.300035e-04 8.616505e-02 -1.641597e-02))
