# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             
0             	N/A           	N/A           	N/A           	N/A           	N/A           
2.00323e-05   	2.818288e-01	8.079238e-03	4.503262e-04	2.123007e-03	5.815815e-05
2.20667e-05   	7.667129e-02	5.652234e-03	2.593356e-04	2.107107e-03	1.065768e-04
2.70571e-05   	5.783307e-02	5.179933e-03	2.137028e-04	2.140331e-03	1.375431e-04
3.75473e-05   	5.305363e-02	6.383686e-03	2.299807e-04	2.245812e-03	1.855772e-04
6.1006e-05    	5.745892e-02	7.124498e-03	3.177819e-04	2.911737e-03	2.768646e-04
0.00010428    	4.953212e-02	5.231984e-03	3.757744e-04	3.107689e-03	2.905221e-04
0.000161728   	4.316056e-02	5.479220e-03	5.498614e-04	3.923722e-03	3.310013e-04
0.00023112    	2.867344e-02	4.711828e-03	6.084941e-04	3.764173e-03	3.086451e-04
0.000296967   	2.116790e-02	4.241978e-03	6.328938e-04	3.562886e-03	2.945528e-04
0.000354394   	1.542076e-02	3.175085e-03	5.005810e-04	2.698110e-03	2.274628e-04
0.000404751   	1.267317e-02	3.150035e-03	5.059089e-04	2.648434e-03	2.280703e-04
0.000455545   	1.188714e-02	3.214225e-03	5.166183e-04	2.645740e-03	2.342178e-04
0.000509482   	1.110785e-02	3.507508e-03	5.573826e-04	2.798542e-03	2.552063e-04
0.000568041   	1.122954e-02	3.822161e-03	5.966734e-04	2.925940e-03	2.756294e-04
0.000629341   	1.048039e-02	3.976225e-03	6.102603e-04	2.922062e-03	2.837096e-04
0.000692227   	9.963607e-03	4.094073e-03	6.205557e-04	2.910646e-03	2.885678e-04
0.000756424   	9.901606e-03	4.172375e-03	6.283744e-04	2.915977e-03	2.896038e-04
0.000821157   	9.165813e-03	4.067340e-03	6.220010e-04	2.859461e-03	2.828976e-04
0.000885185   	8.879464e-03	3.774655e-03	6.061596e-04	2.751974e-03	2.700043e-04
0.000947867   	8.311125e-03	3.519879e-03	5.877177e-04	2.632355e-03	2.558599e-04
0.00100935    	7.672560e-03	3.336457e-03	5.741862e-04	2.538320e-03	2.429369e-04
0.00107       	7.548110e-03	3.193909e-03	5.620979e-04	2.455473e-03	2.313259e-04
0.00112997    	6.841555e-03	3.066226e-03	5.505028e-04	2.378487e-03	2.195179e-04
0.00118907    	6.801769e-03	2.946226e-03	5.366368e-04	2.300489e-03	2.073563e-04
0.0012476     	6.403181e-03	2.872755e-03	5.298067e-04	2.245285e-03	1.984816e-04
0.00130603    	6.343961e-03	2.806531e-03	5.214701e-04	2.189302e-03	1.892043e-04
0.0013638     	6.380083e-03	2.736422e-03	5.106188e-04	2.128842e-03	1.798864e-04
0.00142165    	5.841745e-03	2.710479e-03	5.054462e-04	2.092097e-03	1.737883e-04
0.00147974    	6.176539e-03	2.686386e-03	5.004202e-04	2.056499e-03	1.676661e-04
0.00153825    	6.079271e-03	2.686845e-03	4.981970e-04	2.019522e-03	1.627332e-04
0.0015975     	5.824683e-03	2.694586e-03	4.949032e-04	1.956618e-03	1.583930e-04
0.00165712    	6.132280e-03	2.677653e-03	4.867032e-04	1.867642e-03	1.530697e-04
0.00171651    	5.680822e-03	2.643783e-03	4.753189e-04	1.774975e-03	1.473804e-04
0.00177628    	5.612069e-03	2.657953e-03	4.720971e-04	1.718598e-03	1.449872e-04
0.00183675    	5.757022e-03	2.665589e-03	4.687474e-04	1.662961e-03	1.428218e-04
0.00189795    	5.686388e-03	2.673843e-03	4.658093e-04	1.613947e-03	1.414318e-04
0.00196       	5.656043e-03	2.677601e-03	4.647784e-04	1.574855e-03	1.405965e-04
0.0020229     	5.493917e-03	2.679837e-03	4.631883e-04	1.544282e-03	1.401997e-04
