# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	propellerTip	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.003229e-05	propellerTip	(-1.518537e+05 -2.340132e+05 -1.823221e+05)	(1.585170e+05 2.250336e+05 5.321114e+04)
2.206666e-05	propellerTip	(-2.142743e+04 -6.204507e+03 -1.644208e+04)	(2.232694e+04 2.206159e+04 1.048593e+04)
2.705712e-05	propellerTip	(-5.254163e+03 -1.888335e+03 -3.682124e+03)	(4.905222e+03 6.448020e+03 2.150591e+03)
3.754734e-05	propellerTip	(-1.382868e+03 -5.806343e+02 -1.084678e+03)	(1.199020e+03 1.718792e+03 6.838987e+02)
6.100602e-05	propellerTip	(-3.797295e+02 -1.715003e+02 -3.464958e+02)	(3.649364e+02 3.793706e+02 3.130554e+02)
1.042801e-04	propellerTip	(-1.316802e+02 -6.199241e+01 -1.521478e+02)	(1.237941e+02 9.451682e+01 1.515518e+02)
1.617281e-04	propellerTip	(-6.056340e+01 -3.898381e+01 -8.433960e+01)	(5.349883e+01 3.707821e+01 8.992670e+01)
2.311204e-04	propellerTip	(-3.347327e+01 -3.217560e+01 -6.500850e+01)	(2.737518e+01 2.012759e+01 6.414801e+01)
2.969671e-04	propellerTip	(-2.278752e+01 -2.782391e+01 -4.043608e+01)	(1.736294e+01 1.735252e+01 4.334599e+01)
3.543940e-04	propellerTip	(-1.927679e+01 -2.541572e+01 -3.258554e+01)	(1.129640e+01 1.735262e+01 3.238434e+01)
4.047514e-04	propellerTip	(-1.803219e+01 -2.515438e+01 -2.780352e+01)	(9.251117e+00 1.454782e+01 3.117190e+01)
4.555446e-04	propellerTip	(-1.610113e+01 -2.461926e+01 -2.399283e+01)	(8.086913e+00 1.339133e+01 2.473899e+01)
5.094817e-04	propellerTip	(-1.396103e+01 -2.384561e+01 -2.240760e+01)	(7.660385e+00 1.784673e+01 2.048842e+01)
5.680409e-04	propellerTip	(-1.198579e+01 -2.292304e+01 -2.071098e+01)	(8.518621e+00 1.945784e+01 2.041169e+01)
6.293413e-04	propellerTip	(-1.030964e+01 -2.200133e+01 -2.092097e+01)	(9.377340e+00 1.823251e+01 2.115551e+01)
6.922274e-04	propellerTip	(-1.024412e+01 -2.119915e+01 -2.167621e+01)	(1.020135e+01 1.622171e+01 2.192898e+01)
7.564237e-04	propellerTip	(-1.104667e+01 -2.060032e+01 -2.247304e+01)	(1.101200e+01 1.437612e+01 2.273417e+01)
8.211573e-04	propellerTip	(-1.179341e+01 -2.019568e+01 -2.327267e+01)	(1.177211e+01 1.501734e+01 2.353450e+01)
8.851851e-04	propellerTip	(-1.243608e+01 -1.996188e+01 -2.404730e+01)	(1.243069e+01 1.565851e+01 2.430150e+01)
9.478672e-04	propellerTip	(-1.298208e+01 -1.986493e+01 -2.477867e+01)	(1.299216e+01 1.627816e+01 2.501714e+01)
1.009353e-03	propellerTip	(-1.344576e+01 -1.985547e+01 -2.545637e+01)	(1.347251e+01 1.687485e+01 2.567489e+01)
1.069999e-03	propellerTip	(-1.384831e+01 -1.987599e+01 -2.608013e+01)	(1.388299e+01 1.745685e+01 2.627438e+01)
1.129974e-03	propellerTip	(-1.420699e+01 -1.990029e+01 -2.668808e+01)	(1.424481e+01 1.803078e+01 2.686158e+01)
1.189069e-03	propellerTip	(-1.453393e+01 -1.990752e+01 -2.727232e+01)	(1.456782e+01 1.858970e+01 2.741442e+01)
1.247603e-03	propellerTip	(-1.484156e+01 -1.988697e+01 -2.781582e+01)	(1.486531e+01 1.913629e+01 2.792373e+01)
1.306034e-03	propellerTip	(-1.512935e+01 -1.983615e+01 -2.832177e+01)	(1.513956e+01 1.968598e+01 2.839573e+01)
1.363802e-03	propellerTip	(-1.539207e+01 -1.976628e+01 -2.878671e+01)	(1.538523e+01 2.021230e+01 2.882698e+01)
1.421649e-03	propellerTip	(-1.564253e+01 -1.967464e+01 -2.921833e+01)	(1.561632e+01 2.072797e+01 2.922452e+01)
1.479741e-03	propellerTip	(-1.588791e+01 -1.955992e+01 -2.962013e+01)	(1.584097e+01 2.122630e+01 2.959217e+01)
1.538247e-03	propellerTip	(-1.613273e+01 -1.942542e+01 -2.999544e+01)	(1.606431e+01 2.170357e+01 2.993414e+01)
1.597499e-03	propellerTip	(-1.637784e+01 -1.927165e+01 -3.035027e+01)	(1.628837e+01 2.217065e+01 3.025620e+01)
1.657124e-03	propellerTip	(-1.661885e+01 -1.909683e+01 -3.068407e+01)	(1.651014e+01 2.262068e+01 3.055763e+01)
1.716515e-03	propellerTip	(-1.685359e+01 -1.890788e+01 -3.099266e+01)	(1.672897e+01 2.304090e+01 3.083314e+01)
1.776280e-03	propellerTip	(-1.708509e+01 -1.870743e+01 -3.127312e+01)	(1.694709e+01 2.343091e+01 3.107941e+01)
1.836754e-03	propellerTip	(-1.731200e+01 -1.849147e+01 -3.152573e+01)	(1.716211e+01 2.379408e+01 3.129494e+01)
1.897950e-03	propellerTip	(-1.753579e+01 -1.826208e+01 -3.174478e+01)	(1.737289e+01 2.414052e+01 3.147675e+01)
1.960003e-03	propellerTip	(-1.775791e+01 -1.801923e+01 -3.191961e+01)	(1.758250e+01 2.446842e+01 3.161626e+01)
2.022902e-03	propellerTip	(-1.798100e+01 -1.776180e+01 -3.204471e+01)	(1.780259e+01 2.475941e+01 3.170752e+01)
2.086496e-03	propellerTip	(-1.823663e+01 -1.749257e+01 -3.212046e+01)	(1.805053e+01 2.502734e+01 3.175576e+01)
2.150530e-03	propellerTip	(-1.849624e+01 -1.721760e+01 -3.214170e+01)	(1.830197e+01 2.526651e+01 3.174861e+01)
2.214711e-03	propellerTip	(-1.875977e+01 -1.694206e+01 -3.210361e+01)	(1.856090e+01 2.546728e+01 3.168241e+01)
2.278879e-03	propellerTip	(-1.902806e+01 -1.667401e+01 -3.199964e+01)	(1.882582e+01 2.562741e+01 3.155624e+01)
2.342947e-03	propellerTip	(-1.930251e+01 -1.641720e+01 -3.183076e+01)	(1.909764e+01 2.575001e+01 3.136819e+01)
2.406728e-03	propellerTip	(-1.958268e+01 -1.617222e+01 -3.159829e+01)	(1.937270e+01 2.582019e+01 3.111817e+01)
2.469994e-03	propellerTip	(-1.986249e+01 -1.594585e+01 -3.130738e+01)	(1.965900e+01 2.582667e+01 3.081517e+01)
2.532999e-03	propellerTip	(-2.014741e+01 -1.574355e+01 -3.096847e+01)	(1.995324e+01 2.577319e+01 3.047092e+01)
2.595878e-03	propellerTip	(-2.043166e+01 -1.557114e+01 -3.059095e+01)	(2.024576e+01 2.566630e+01 3.009102e+01)
2.658440e-03	propellerTip	(-2.071690e+01 -1.543129e+01 -3.017728e+01)	(2.053535e+01 2.551757e+01 2.967825e+01)
2.720410e-03	propellerTip	(-2.103849e+01 -1.533379e+01 -2.973468e+01)	(2.087502e+01 2.532343e+01 2.923740e+01)
2.781790e-03	propellerTip	(-2.138000e+01 -1.529101e+01 -2.926600e+01)	(2.121931e+01 2.506705e+01 2.877196e+01)
2.842656e-03	propellerTip	(-2.172161e+01 -1.530161e+01 -2.875322e+01)	(2.156443e+01 2.476162e+01 2.825965e+01)
2.903131e-03	propellerTip	(-2.205647e+01 -1.536812e+01 -2.810060e+01)	(2.191049e+01 2.439518e+01 2.762819e+01)
2.963393e-03	propellerTip	(-2.239627e+01 -1.549652e+01 -2.741434e+01)	(2.224901e+01 2.397488e+01 2.695953e+01)
3.023468e-03	propellerTip	(-2.276846e+01 -1.568357e+01 -2.675946e+01)	(2.263038e+01 2.355510e+01 2.628356e+01)
3.083310e-03	propellerTip	(-2.315061e+01 -1.593358e+01 -2.606753e+01)	(2.302337e+01 2.315912e+01 2.561247e+01)
3.142821e-03	propellerTip	(-2.355745e+01 -1.627097e+01 -2.540430e+01)	(2.344050e+01 2.280207e+01 2.496490e+01)
3.201885e-03	propellerTip	(-2.399231e+01 -1.669516e+01 -2.471703e+01)	(2.388064e+01 2.250210e+01 2.429074e+01)
3.260450e-03	propellerTip	(-2.443339e+01 -1.721222e+01 -2.398925e+01)	(2.433920e+01 2.227964e+01 2.357119e+01)
3.318430e-03	propellerTip	(-2.483131e+01 -1.783379e+01 -2.317298e+01)	(2.474304e+01 2.213782e+01 2.276804e+01)
3.375839e-03	propellerTip	(-2.529751e+01 -1.852673e+01 -2.228939e+01)	(2.520984e+01 2.212091e+01 2.191183e+01)
3.432732e-03	propellerTip	(-2.588956e+01 -1.926252e+01 -2.137094e+01)	(2.579513e+01 2.222349e+01 2.101929e+01)
