# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	0.000000e+00	0.000000e+00	0.000000e+00
0             	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0             	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0             	propellerTip	6.853713e-01	9.152659e+00	2.823149e+00
2.00323e-05   	walls	2.569817e-01	3.689366e+01	9.535482e+00
2.00323e-05   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
2.00323e-05   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
2.00323e-05   	propellerTip	1.176490e+00	5.639916e+04	8.362878e+02
2.20667e-05   	walls	6.108980e-02	3.434853e+01	9.093375e+00
2.20667e-05   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
2.20667e-05   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
2.20667e-05   	propellerTip	1.222519e+00	2.750343e+04	6.443703e+02
2.70571e-05   	walls	8.832267e-02	3.279121e+01	8.786631e+00
2.70571e-05   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
2.70571e-05   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
2.70571e-05   	propellerTip	1.248589e+00	1.463990e+04	4.690518e+02
3.75473e-05   	walls	1.037310e-01	3.172500e+01	8.555022e+00
3.75473e-05   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
3.75473e-05   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
3.75473e-05   	propellerTip	1.267717e+00	8.090467e+03	3.352839e+02
6.1006e-05    	walls	8.791503e-02	3.090911e+01	8.390962e+00
6.1006e-05    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
6.1006e-05    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
6.1006e-05    	propellerTip	1.381190e+00	4.384628e+03	2.314159e+02
0.00010428    	walls	1.126469e-01	3.073641e+01	8.396121e+00
0.00010428    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00010428    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00010428    	propellerTip	1.507320e+00	2.349201e+03	1.620907e+02
0.000161728   	walls	2.064147e-01	3.125086e+01	8.574400e+00
0.000161728   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000161728   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000161728   	propellerTip	2.113319e+00	1.455912e+03	1.189399e+02
0.00023112    	walls	8.248068e-02	3.226174e+01	8.863919e+00
0.00023112    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00023112    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00023112    	propellerTip	2.521228e+00	8.705519e+02	9.059377e+01
0.000296967   	walls	1.682461e-01	3.334399e+01	9.159584e+00
0.000296967   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000296967   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000296967   	propellerTip	2.518162e+00	5.822419e+02	7.417981e+01
0.000354394   	walls	1.356571e-01	3.429985e+01	9.419142e+00
0.000354394   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000354394   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000354394   	propellerTip	2.553981e+00	4.229232e+02	6.410936e+01
0.000404751   	walls	3.109438e-02	3.513099e+01	9.643377e+00
