# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.255642e-03 1.385898e+02 4.744562e-02) (2.348537e-06 -6.077446e-03 -1.943961e-05)) ((-1.070914e-03 -4.062882e+00 5.996030e-03) (-5.860361e-08 -3.484767e-03 -6.058828e-07))
1.39003e-05   	((-1.528067e-01 -1.116228e+02 -2.099471e+00) (7.165992e-05 -3.735863e-02 -4.604620e-04)) ((-7.555600e-03 7.142350e+00 -2.298060e-01) (-1.326567e-06 -8.048633e-03 -1.473750e-05))
1.85806e-05   	((-1.100602e+01 -6.077386e+03 -5.630579e+01) (-1.880540e-02 -3.063453e+00 -5.253529e-02)) ((-1.794284e+00 2.842462e+02 -2.415295e+00) (-6.959121e-04 1.557558e-01 -4.741509e-03))
1.9068e-05    	((-6.604696e+01 -5.032141e+04 -3.739412e+02) (-1.204066e-01 -1.289603e+01 2.535830e-02)) ((-1.890249e+01 2.264552e+03 1.212297e+01) (-4.910621e-03 2.028204e-01 8.222254e-03))
1.93715e-05   	((2.350625e+02 -3.302816e+04 1.557321e+03) (-1.246145e+00 -2.059868e+01 7.371909e-01)) ((-3.357905e+01 1.476073e+03 3.138002e+02) (-1.170723e-02 6.599631e-01 1.235644e-01))
1.94909e-05   	((3.733329e+02 -1.543150e+04 2.692450e+03) (-8.745246e-01 -1.319996e+01 1.411831e+00)) ((-3.599848e+01 7.222578e+02 4.444811e+02) (-1.585552e-02 7.730742e-01 1.110491e-01))
1.96149e-05   	((2.134080e+02 -5.475899e+03 1.335980e+03) (-7.199590e-01 -8.738397e+00 1.910680e+00)) ((-1.611976e+01 2.711311e+02 2.169294e+02) (-1.102875e-02 8.346342e-01 2.174462e-02))
1.9749e-05    	((8.247185e+01 -1.691355e+03 4.364957e+02) (-1.960931e-01 -7.179092e+00 2.475317e+00)) ((-4.519103e+00 8.981042e+01 6.411472e+01) (-1.008888e-02 9.222609e-01 1.881114e-02))
1.98955e-05   	((2.847698e+01 -6.143679e+02 1.143833e+02) (6.502326e-02 -5.953781e+00 2.807534e+00)) ((-7.442185e-01 3.054178e+01 1.685354e+01) (-1.242876e-02 9.261404e-01 4.630447e-02))
2.00441e-05   	((7.865203e+00 -4.359729e+02 3.354313e+01) (9.933515e-02 -4.655289e+00 2.694956e+00)) ((-3.125240e-01 1.512834e+01 8.773271e+00) (-1.202194e-02 8.629948e-01 4.597580e-02))
