# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.188367e-03 1.402549e+02 4.657437e-02) (-1.563732e-05 -2.170775e-02 -6.180245e-05)) ((-1.042255e-03 -4.116839e+00 5.989326e-03) (-6.752357e-07 -9.572616e-03 -4.240379e-07))
1.39011e-05   	((1.986690e-03 1.179826e+01 1.268082e-02) (-1.479228e-05 -2.286743e-02 -4.898794e-05)) ((-8.946671e-05 -3.259570e-01 3.609083e-03) (-4.308645e-07 -1.056683e-02 2.901962e-07))
1.81594e-05   	((1.875282e-03 9.341879e+00 7.673347e-03) (-1.567565e-05 -2.353848e-02 -5.501732e-05)) ((-4.649040e-05 -2.266799e-01 1.492804e-03) (-3.310126e-07 -1.022045e-02 1.099935e-07))
2.261e-05     	((1.626493e-03 9.176108e+00 6.330708e-03) (-1.440628e-05 -2.387917e-02 -6.094238e-05)) ((-5.237075e-05 -2.142329e-01 1.308676e-03) (-2.314517e-07 -9.889067e-03 3.300300e-08))
2.71211e-05   	((1.318289e-03 9.131245e+00 5.157173e-03) (-1.444055e-05 -2.403959e-02 -6.636259e-05)) ((-4.029721e-05 -2.084491e-01 9.411285e-04) (-1.627359e-07 -9.584195e-03 -9.478812e-09))
3.16651e-05   	((1.283318e-03 9.119355e+00 7.969586e-03) (-1.360642e-05 -2.407534e-02 -7.079515e-05)) ((-6.829066e-05 -2.046587e-01 1.168647e-03) (-1.175114e-07 -9.302172e-03 -7.049360e-09))
3.62429e-05   	((1.107049e-03 9.132413e+00 2.351484e-03) (-1.286644e-05 -2.401488e-02 -7.405568e-05)) ((6.059382e-06 -2.022483e-01 5.197224e-04) (-1.107076e-07 -9.038497e-03 7.313111e-09))
4.08617e-05   	((1.179787e-03 9.142146e+00 3.419166e-03) (-1.237956e-05 -2.387579e-02 -7.889436e-05)) ((3.149919e-06 -2.000958e-01 6.307420e-04) (-1.386004e-07 -8.789698e-03 1.454105e-07))
4.54987e-05   	((1.205001e-03 9.156386e+00 2.310800e-03) (-1.206609e-05 -2.367384e-02 -8.818899e-05)) ((1.762732e-05 -1.983901e-01 5.336787e-04) (-1.684556e-07 -8.556517e-03 2.528887e-07))
5.01485e-05   	((1.112131e-03 9.156642e+00 1.853417e-03) (-1.243315e-05 -2.342178e-02 -9.793743e-05)) ((3.134443e-05 -1.965452e-01 4.453692e-04) (-2.059086e-07 -8.337825e-03 3.768053e-07))
5.48141e-05   	((1.155093e-03 9.168608e+00 3.146052e-03) (-1.302399e-05 -2.312936e-02 -1.071442e-04)) ((1.909754e-05 -1.952176e-01 5.700160e-04) (-2.508427e-07 -8.131762e-03 4.244675e-07))
5.95002e-05   	((1.151343e-03 9.179464e+00 5.257648e-03) (-1.304685e-05 -2.280282e-02 -1.148112e-04)) ((-2.667385e-06 -1.940362e-01 6.951296e-04) (-2.854287e-07 -7.937674e-03 4.518686e-07))
6.42167e-05   	((1.326109e-03 9.182708e+00 2.538853e-03) (-1.567936e-05 -2.245364e-02 -1.140017e-04)) ((6.299885e-05 -1.928130e-01 4.631563e-04) (-2.599427e-07 -7.755895e-03 1.613248e-07))
6.89754e-05   	((1.040373e-03 9.203021e+00 3.616707e-03) (-1.475988e-05 -2.207059e-02 -1.223317e-04)) ((1.885386e-05 -1.922875e-01 4.613711e-04) (-2.854169e-07 -7.584591e-03 3.101567e-07))
7.37861e-05   	((1.032557e-03 9.230626e+00 3.995586e-03) (-1.377499e-05 -2.166683e-02 -1.293553e-04)) ((1.768678e-05 -1.920936e-01 4.772109e-04) (-2.927360e-07 -7.422812e-03 4.283042e-07))
7.86575e-05   	((1.034763e-03 9.265194e+00 3.348391e-03) (-1.291247e-05 -2.124579e-02 -1.352070e-04)) ((2.558662e-05 -1.921552e-01 3.963053e-04) (-3.010593e-07 -7.270267e-03 6.148969e-07))
8.35956e-05   	((1.028743e-03 9.296191e+00 3.378635e-03) (-1.213735e-05 -2.081269e-02 -1.505907e-04)) ((2.734498e-05 -1.921259e-01 2.923803e-04) (-3.212490e-07 -7.127448e-03 9.553063e-07))
8.86042e-05   	((1.209610e-03 9.320618e+00 4.410778e-03) (-1.203005e-05 -2.037395e-02 -1.715772e-04)) ((2.723866e-05 -1.919614e-01 7.477145e-04) (-3.438628e-07 -6.995088e-03 1.872579e-06))
9.36847e-05   	((9.112957e-04 9.333309e+00 7.905346e-03) (-1.009445e-05 -1.993387e-02 -1.829238e-04)) ((-6.548314e-05 -1.913812e-01 8.543387e-04) (-4.300958e-07 -6.869964e-03 2.683657e-06))
9.88364e-05   	((1.109083e-03 9.351283e+00 5.267671e-03) (-1.013868e-05 -1.947720e-02 -1.761522e-04)) ((-5.853911e-06 -1.911025e-01 5.765773e-04) (-4.223855e-07 -6.747822e-03 2.682376e-06))
0.000104054   	((1.162441e-03 9.364011e+00 4.735507e-03) (-9.721638e-06 -1.902086e-02 -1.634014e-04)) ((1.038014e-05 -1.906375e-01 6.106087e-04) (-4.358217e-07 -6.631930e-03 2.784615e-06))
0.000109332   	((9.831893e-04 9.384660e+00 4.324385e-03) (-9.833590e-06 -1.856753e-02 -1.630698e-04)) ((1.744543e-05 -1.904400e-01 3.962061e-04) (-4.450843e-07 -6.520103e-03 2.977284e-06))
0.000114666   	((1.013247e-03 9.402461e+00 6.103259e-03) (-9.920062e-06 -1.812555e-02 -1.515683e-04)) ((-1.247362e-06 -1.902043e-01 5.690852e-04) (-4.481782e-07 -6.416377e-03 2.896682e-06))
0.000120054   	((9.741324e-04 9.421068e+00 5.958923e-03) (-9.956971e-06 -1.768985e-02 -1.458198e-04)) ((-2.883539e-06 -1.900393e-01 5.373984e-04) (-4.543355e-07 -6.314673e-03 2.945450e-06))
0.000125496   	((1.042673e-03 9.447570e+00 6.075148e-03) (-1.091957e-05 -1.726488e-02 -1.727512e-04)) ((1.246445e-05 -1.901288e-01 6.633646e-04) (-4.708917e-07 -6.221607e-03 3.357693e-06))
0.000130994   	((1.034147e-03 9.469067e+00 5.823765e-03) (-1.165094e-05 -1.684617e-02 -1.570298e-04)) ((1.020559e-05 -1.900852e-01 5.511925e-04) (-4.723994e-07 -6.129019e-03 3.232689e-06))
0.000136546   	((1.014657e-03 9.485312e+00 6.656440e-03) (-1.240939e-05 -1.643905e-02 -1.508085e-04)) ((1.953547e-07 -1.899508e-01 4.699733e-04) (-4.779865e-07 -6.039214e-03 3.035691e-06))
0.000142149   	((9.710400e-04 9.496140e+00 6.243288e-03) (-1.220526e-05 -1.603215e-02 -1.530062e-04)) ((-8.834383e-06 -1.896117e-01 4.986821e-04) (-4.899727e-07 -5.950184e-03 3.272067e-06))
0.0001478     	((9.042925e-04 9.509784e+00 6.481368e-03) (-1.144034e-05 -1.563720e-02 -1.453531e-04)) ((-1.915057e-05 -1.893709e-01 5.671179e-04) (-4.930029e-07 -5.865016e-03 3.344542e-06))
0.000153494   	((8.761442e-04 9.523706e+00 6.478865e-03) (-1.077359e-05 -1.525611e-02 -1.497016e-04)) ((-1.639117e-05 -1.891857e-01 4.885089e-04) (-4.862712e-07 -5.786773e-03 3.429798e-06))
0.000159223   	((8.823266e-04 9.530880e+00 6.563278e-03) (-1.000813e-05 -1.488348e-02 -1.537267e-04)) ((-1.935424e-05 -1.888420e-01 4.939126e-04) (-4.762903e-07 -5.706951e-03 3.559108e-06))
0.000164981   	((9.215835e-04 9.542840e+00 6.549195e-03) (-8.996673e-06 -1.452876e-02 -1.478507e-04)) ((-1.962231e-05 -1.886780e-01 5.411957e-04) (-4.648013e-07 -5.632812e-03 3.386999e-06))
0.000170759   	((9.176012e-04 9.552698e+00 6.773661e-03) (-9.086991e-06 -1.418464e-02 -1.351349e-04)) ((-1.804306e-05 -1.884933e-01 4.489259e-04) (-4.410125e-07 -5.560169e-03 2.956690e-06))
0.000176553   	((1.047331e-03 9.565239e+00 6.699024e-03) (-1.089620e-05 -1.384682e-02 -1.114409e-04)) ((-3.307194e-05 -1.883738e-01 7.421632e-04) (-4.637987e-07 -5.491531e-03 2.878517e-06))
0.000182359   	((8.571430e-04 9.579907e+00 6.412698e-03) (-8.548258e-06 -1.352018e-02 -1.295150e-04)) ((1.864123e-06 -1.883459e-01 3.448935e-04) (-4.424996e-07 -5.425386e-03 3.268649e-06))
0.000188174   	((8.643348e-04 9.590637e+00 7.240795e-03) (-8.901272e-06 -1.320745e-02 -1.504069e-04)) ((-2.328996e-05 -1.882737e-01 6.338376e-04) (-4.351841e-07 -5.361843e-03 3.885683e-06))
0.000193995   	((1.021662e-03 9.607198e+00 6.984490e-03) (-9.857577e-06 -1.290077e-02 -1.482701e-04)) ((5.828155e-08 -1.882905e-01 7.306059e-04) (-4.174569e-07 -5.300502e-03 4.283225e-06))
0.000199823   	((1.058030e-03 9.619767e+00 7.299504e-03) (-9.974364e-06 -1.260493e-02 -1.576984e-04)) ((-1.851373e-05 -1.882601e-01 7.403986e-04) (-4.180634e-07 -5.242738e-03 4.849375e-06))
0.000205659   	((1.008507e-03 9.629982e+00 6.657026e-03) (-9.570716e-06 -1.232617e-02 -1.475540e-04)) ((-1.629773e-05 -1.882082e-01 6.582792e-04) (-3.862019e-07 -5.188641e-03 4.492972e-06))
