# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	omega         
0             	N/A           	N/A           	N/A           	N/A           	N/A           	N/A           
5.01485e-05   	2.901922e-02	9.804510e-03	3.525429e-04	1.126452e-02	4.616776e-04	9.514456e-05
9.88364e-05   	2.232585e-02	9.246336e-03	3.407253e-04	1.033171e-02	2.306358e-04	1.676047e-04
0.000153494   	1.622936e-02	8.804538e-03	3.595213e-04	9.782164e-03	1.531626e-04	1.248925e-02
0.000211504   	1.820633e-02	7.864786e-03	3.610636e-04	8.560050e-03	2.654847e-04	9.967745e-01
0.000271042   	2.280283e-02	7.223010e-03	3.775826e-04	7.708559e-03	5.720107e-02	9.987218e-01
0.000332766   	3.367242e-02	6.775148e-03	4.058088e-04	7.295520e-03	3.352283e-04	2.173228e-01
0.000397369   	8.167664e-02	6.850989e-03	4.589290e-04	7.282548e-03	3.713370e-04	9.439076e-01
0.000463068   	5.421833e-02	5.972360e-03	4.577475e-04	6.334314e-03	2.108990e-04	7.412416e-01
0.000529999   	1.383777e-01	6.189699e-03	5.294012e-04	6.708396e-03	7.611135e-04	6.973997e-01
0.000596842   	6.818857e-02	5.350181e-03	4.952265e-04	5.651568e-03	1.492262e-04	3.872545e-01
0.000663131   	6.382588e-02	5.064299e-03	5.246304e-04	5.388382e-03	4.359073e-04	8.285185e-01
0.000728718   	5.543690e-02	4.781005e-03	5.185606e-04	4.917074e-03	1.258786e-04	8.467491e-01
0.000793726   	4.056427e-02	4.423641e-03	5.127598e-04	4.384063e-03	1.513719e-04	5.374294e-01
0.000857862   	7.432113e-02	4.327499e-03	5.360119e-04	4.258026e-03	1.898227e-03	9.910310e-01
0.00092071    	7.321916e-02	4.081096e-03	5.321417e-04	3.864369e-03	1.160541e-04	8.010230e-01
0.000981436   	3.155001e-02	3.650275e-03	4.877117e-04	3.335322e-03	1.144189e-04	5.018583e-01
0.0010404     	6.761647e-02	3.617933e-03	5.054802e-04	3.251279e-03	8.900532e-05	9.838807e-01
0.00109904    	2.179685e-02	3.356545e-03	4.817696e-04	2.888161e-03	6.487072e-05	2.005756e-01
0.00115762    	2.394730e-02	3.291804e-03	4.854116e-04	2.708501e-03	8.688501e-05	2.058967e-01
0.00121639    	3.809173e-02	3.259293e-03	4.989221e-04	2.643285e-03	1.314992e-04	9.753157e-01
0.00127541    	3.187309e-02	3.199747e-03	5.011877e-04	2.548241e-03	6.212801e-05	3.973025e-01
0.00133473    	4.820373e-02	3.175275e-03	5.062820e-04	2.465120e-03	6.542682e-05	6.278800e-01
0.00139471    	3.012384e-02	3.080166e-03	4.998435e-04	2.360616e-03	5.323865e-05	3.880736e-01
0.00145547    	4.026743e-02	3.060859e-03	5.110402e-04	2.327039e-03	7.075272e-05	8.922906e-01
0.00151651    	4.894239e-02	2.990591e-03	5.188519e-04	2.299399e-03	6.116931e-05	9.732619e-01
0.00157765    	2.566975e-02	2.905970e-03	4.966289e-04	2.136743e-03	5.209163e-05	2.457686e-01
0.00163889    	1.540240e-02	2.791293e-03	4.843371e-04	2.044619e-03	4.498675e-05	1.018482e-01
0.00170035    	2.661821e-02	2.804963e-03	4.921807e-04	1.997350e-03	5.461281e-05	2.578856e-01
0.00176225    	1.717850e-02	2.759627e-03	4.838495e-04	1.939744e-03	4.766747e-05	4.980552e-01
0.00182476    	4.587967e-02	2.822659e-03	5.015890e-04	1.950058e-03	6.510196e-05	4.202168e-01
0.00188788    	1.134657e-02	2.733536e-03	4.800391e-04	1.844599e-03	4.344247e-05	5.443361e-01
0.00195155    	4.731547e-02	2.824085e-03	5.044425e-04	1.922168e-03	6.304286e-05	8.544098e-01
0.00201569    	4.215550e-02	2.801439e-03	4.963571e-04	1.872859e-03	5.949517e-05	7.858148e-01
0.0020802     	2.186474e-02	2.766700e-03	4.814540e-04	1.775219e-03	5.753741e-05	5.040249e-01
0.00214501    	4.447069e-02	2.775756e-03	4.921871e-04	1.827088e-03	5.825864e-05	7.459666e-01
0.00220997    	3.145075e-02	2.739747e-03	4.840155e-04	1.739840e-03	4.721599e-05	9.157248e-01
0.00227509    	3.898963e-02	2.705114e-03	4.815830e-04	1.736972e-03	5.864285e-05	4.065675e-01
0.00234044    	3.428528e-02	2.647053e-03	4.789168e-04	1.723875e-03	8.292337e-04	8.212093e-01
0.00240613    	3.293726e-02	2.619228e-03	4.692206e-04	1.690795e-03	6.905251e-05	5.390119e-01
0.002472      	4.792990e-02	2.591105e-03	4.770278e-04	1.705461e-03	5.665296e-05	8.842939e-01
0.00253777    	1.986594e-02	2.509731e-03	4.595350e-04	1.658896e-03	5.048833e-05	1.611309e-01
0.00260334    	8.169838e-02	2.555133e-03	5.089478e-04	1.824971e-03	2.293753e-03	9.999701e-01
0.0026687     	4.564506e-02	2.421659e-03	4.715194e-04	1.687904e-03	5.230115e-05	9.626293e-01
0.00273381    	2.202396e-02	2.309725e-03	4.576305e-04	1.606597e-03	1.294091e-03	9.974948e-01
0.00279846    	5.464478e-02	2.336809e-03	4.846327e-04	1.664173e-03	6.372882e-05	9.989475e-01
0.00286252    	2.874170e-02	2.178724e-03	4.633762e-04	1.593405e-03	8.903251e-05	9.983147e-01
0.0029261     	6.135232e-02	2.202846e-03	4.903771e-04	1.671315e-03	6.446392e-05	5.689383e-01
0.00298957    	4.428040e-02	2.085077e-03	4.724587e-04	1.583182e-03	5.145604e-05	7.641941e-01
0.00305332    	2.560035e-02	2.060687e-03	4.742353e-04	1.543053e-03	5.217671e-05	5.250920e-01
0.00311751    	5.619592e-02	2.059656e-03	5.105083e-04	1.669593e-03	5.487341e-05	9.362023e-01
0.00318189    	4.365775e-02	1.992191e-03	5.063367e-04	1.603867e-03	5.920564e-05	9.055041e-01
0.00324617    	4.072737e-02	1.976591e-03	5.153558e-04	1.600475e-03	5.292926e-05	6.294700e-01
0.00331011    	2.726474e-02	1.898684e-03	5.009908e-04	1.503766e-03	4.730169e-05	4.123897e-01
0.00337338    	4.406342e-02	1.873477e-03	5.216844e-04	1.521099e-03	4.389478e-05	4.760957e-01
0.00343539    	5.371801e-02	1.809691e-03	5.409647e-04	1.565996e-03	1.713316e-04	9.994468e-01
0.00349601    	3.830854e-02	1.736290e-03	5.152161e-04	1.449949e-03	1.648136e-04	9.940702e-01
0.00355595    	2.202829e-02	1.656650e-03	5.009264e-04	1.381607e-03	4.270360e-05	5.116729e-01
0.0036154     	4.506778e-02	1.678843e-03	5.148646e-04	1.408492e-03	4.081244e-05	7.708723e-01
0.00367442    	3.660095e-02	1.597711e-03	5.114119e-04	1.402984e-03	4.339168e-05	5.975935e-01
0.00373323    	3.763939e-02	1.556529e-03	4.934041e-04	1.353325e-03	9.655359e-05	7.385469e-01
0.00379208    	2.315164e-02	1.500488e-03	4.746877e-04	1.302559e-03	2.532560e-04	7.574814e-01
0.00385142    	2.440383e-02	1.479431e-03	4.569062e-04	1.282484e-03	4.055501e-05	6.694135e-01
0.00391156    	2.263669e-02	1.456781e-03	4.441812e-04	1.284064e-03	3.631629e-05	4.426308e-01
0.00397242    	6.010044e-03	1.429192e-03	4.147600e-04	1.225585e-03	3.652938e-05	1.782377e-02
0.00403432    	3.812252e-02	1.481789e-03	4.246252e-04	1.297676e-03	4.473533e-05	5.439898e-01
0.00409748    	1.678086e-02	1.446448e-03	3.921736e-04	1.252991e-03	4.160003e-05	9.884398e-01
0.00416201    	4.086929e-02	1.498044e-03	4.006593e-04	1.336385e-03	5.619989e-05	9.943800e-01
0.00422792    	3.073561e-02	1.488973e-03	3.787250e-04	1.300202e-03	5.069087e-05	3.233438e-01
0.00429516    	2.389457e-02	1.481725e-03	3.620074e-04	1.290756e-03	5.436354e-05	5.151593e-01
0.00436387    	4.895265e-02	1.564540e-03	3.840865e-04	1.395233e-03	7.755152e-05	9.485362e-01
0.00443393    	2.554623e-02	1.509866e-03	3.536923e-04	1.317077e-03	7.516143e-05	7.817913e-01
0.00450506    	6.392347e-02	1.596489e-03	3.811294e-04	1.448123e-03	2.415167e-03	9.985744e-01
0.00457681    	4.627072e-02	1.550900e-03	3.639361e-04	1.383370e-03	7.767216e-03	9.999860e-01
0.00464908    	3.223299e-02	1.537150e-03	3.484414e-04	1.360670e-03	8.119295e-05	8.736732e-01
0.00472133    	7.398412e-02	1.581048e-03	3.865802e-04	1.506885e-03	7.330329e-03	9.997742e-01
0.00479286    	2.690361e-02	1.489942e-03	3.324974e-04	1.291338e-03	8.501921e-05	6.120152e-01
0.00486402    	4.749900e-02	1.512615e-03	3.396195e-04	1.327024e-03	9.209993e-05	7.256022e-01
0.00493552    	6.220867e-02	1.547289e-03	3.534453e-04	1.405996e-03	6.935135e-04	7.805900e-01
0.00500704    	2.896424e-02	1.449625e-03	3.163919e-04	1.251687e-03	8.176804e-05	3.071303e-01
0.00507685    	6.104178e-02	1.463590e-03	3.248979e-04	1.273588e-03	8.948341e-05	9.692726e-01
0.0051469     	1.975653e-02	1.399514e-03	2.985320e-04	1.197035e-03	7.969350e-05	4.955870e-01
0.00521694    	7.011576e-02	1.496260e-03	3.356221e-04	1.316218e-03	8.999224e-05	8.980257e-01
0.00528693    	3.429365e-02	1.372276e-03	2.921346e-04	1.158655e-03	8.030948e-05	6.351537e-01
0.00535657    	6.389394e-02	1.418647e-03	3.228056e-04	1.301326e-03	8.780862e-05	9.976923e-01
0.00542677    	3.283636e-02	1.364949e-03	2.901237e-04	1.164318e-03	8.320359e-05	5.113365e-01
0.00549668    	4.697656e-02	1.337074e-03	2.964374e-04	1.178097e-03	4.218780e-02	9.997315e-01
0.00556566    	3.192708e-02	1.312389e-03	2.851567e-04	1.127105e-03	2.318145e-04	6.908507e-01
0.00563558    	4.053643e-02	1.304324e-03	2.866902e-04	1.148748e-03	1.102896e-04	8.910427e-01
0.00570647    	7.121588e-02	1.374386e-03	3.086371e-04	1.272475e-03	8.064880e-05	9.684805e-01
0.00577621    	2.951821e-02	1.278155e-03	2.773518e-04	1.116999e-03	6.455523e-05	7.136399e-01
0.00584738    	2.821905e-02	1.255391e-03	2.704900e-04	1.102543e-03	6.430675e-05	9.267231e-01
0.00591781    	3.494005e-02	1.283207e-03	2.822185e-04	1.143815e-03	7.134280e-05	4.747901e-01
0.00598841    	4.991840e-02	1.252635e-03	2.855017e-04	1.161602e-03	1.113929e-04	9.995504e-01
0.0060587     	4.395028e-02	1.238754e-03	2.756189e-04	1.092334e-03	6.528296e-05	9.660993e-01
0.00612932    	3.573577e-02	1.226749e-03	2.716954e-04	1.094047e-03	7.095706e-05	4.547571e-01
0.00620015    	2.259325e-02	1.173225e-03	2.560670e-04	1.022320e-03	5.609673e-05	3.061122e-01
0.00627105    	3.080690e-02	1.174930e-03	2.606301e-04	1.049168e-03	5.975243e-05	9.886200e-01
0.00634208    	3.183706e-02	1.156479e-03	2.569264e-04	1.020038e-03	7.095091e-05	5.384383e-01
0.00641281    	2.113807e-02	1.126831e-03	2.521930e-04	1.011434e-03	6.890694e-05	4.000557e-01
0.00648315    	3.096252e-02	1.109453e-03	2.509884e-04	1.006969e-03	8.654974e-05	2.142629e-01
0.00655325    	2.614829e-02	1.092042e-03	2.497925e-04	1.001496e-03	6.513893e-05	9.981956e-01
0.00662342    	3.111095e-02	1.084169e-03	2.509518e-04	1.024626e-03	5.958009e-05	9.911865e-01
0.00669382    	1.496626e-02	1.048897e-03	2.353751e-04	9.525681e-04	5.627932e-05	1.535395e-01
0.00676458    	3.586876e-02	1.055943e-03	2.477981e-04	9.978217e-04	6.309071e-05	8.102692e-01
0.00683583    	1.455827e-02	1.026135e-03	2.310228e-04	9.458268e-04	6.741669e-05	2.380712e-01
0.00690753    	5.006434e-02	1.043491e-03	2.463950e-04	1.019412e-03	5.976979e-05	9.982915e-01
0.00697968    	2.467456e-02	1.012981e-03	2.361740e-04	9.716320e-04	6.535559e-05	9.112211e-01
0.00705205    	1.972581e-02	9.820732e-04	2.240825e-04	9.399880e-04	5.355406e-05	1.164602e-01
0.00712444    	3.673727e-02	9.973254e-04	2.307962e-04	9.866690e-04	7.064457e-05	9.999560e-01
0.00719731    	1.041928e-02	9.602553e-04	2.152507e-04	9.232143e-04	5.364672e-05	4.384884e-02
0.00726974    	3.093939e-02	9.439566e-04	2.167472e-04	9.501835e-04	9.620033e-05	9.457675e-01
0.00734267    	1.794094e-02	9.376217e-04	2.119740e-04	9.310235e-04	5.893210e-05	3.269202e-01
0.00741602    	1.706958e-02	9.210908e-04	2.079052e-04	9.193254e-04	5.669471e-05	3.617602e-02
0.00748932    	2.080433e-02	9.130997e-04	2.052289e-04	9.218806e-04	6.117898e-05	2.170525e-01
0.00756317    	2.074053e-02	9.097170e-04	2.057573e-04	9.314290e-04	5.814827e-05	1.244857e-01
0.00763717    	2.617499e-02	9.030054e-04	2.070468e-04	9.421426e-04	6.626610e-05	2.588244e-01
0.00770994    	2.023728e-02	8.610619e-04	1.930499e-04	8.809074e-04	5.932131e-05	3.097060e-01
0.00778247    	2.070690e-02	8.710840e-04	1.980963e-04	9.131723e-04	6.331119e-05	3.054145e-01
0.00785624    	4.193753e-02	8.735945e-04	2.070021e-04	9.506884e-04	7.423501e-05	9.560940e-01
0.0079299     	1.497805e-02	8.431005e-04	1.905238e-04	8.833225e-04	6.181342e-05	1.908719e-01
0.00800396    	3.015158e-02	8.488536e-04	1.973576e-04	9.205315e-04	7.401476e-05	2.703171e-01
0.00807835    	3.747298e-02	8.402276e-04	1.972971e-04	9.252993e-04	8.020199e-05	7.842466e-01
0.00815276    	1.708950e-02	8.201488e-04	1.865089e-04	8.783506e-04	2.111054e-03	9.972825e-01
0.00822691    	4.678625e-02	8.293559e-04	1.948292e-04	9.311078e-04	1.328421e-04	9.992969e-01
0.00830088    	3.154857e-02	8.043062e-04	1.842618e-04	8.710248e-04	7.003709e-05	9.054126e-01
0.00837444    	2.210234e-02	7.850943e-04	1.774250e-04	8.500207e-04	7.557208e-05	5.001904e-01
0.00844749    	2.389773e-02	7.711609e-04	1.736592e-04	8.333277e-04	6.987116e-05	2.437558e-01
0.00851999    	2.369842e-02	7.633197e-04	1.711390e-04	8.289869e-04	6.665296e-05	7.528610e-01
0.00859297    	3.365190e-02	7.671739e-04	1.714646e-04	8.337043e-04	1.857856e-04	5.709170e-01
0.0086664     	2.421966e-02	7.623654e-04	1.700701e-04	8.228733e-04	7.800609e-05	6.455841e-01
0.00874026    	2.489021e-02	7.615273e-04	1.673303e-04	8.113624e-04	7.433361e-05	3.448405e-01
0.00881431    	1.384399e-02	7.467946e-04	1.596019e-04	7.749921e-04	6.697446e-05	3.543559e-02
0.00888842    	3.432997e-02	7.630882e-04	1.703947e-04	8.294472e-04	1.169852e-04	9.945673e-01
0.00896266    	2.194010e-02	7.499324e-04	1.642352e-04	7.883759e-04	1.443871e-04	9.747790e-01
0.00903711    	2.417508e-02	7.515894e-04	1.663126e-04	7.875363e-04	8.379011e-04	9.913920e-01
0.00911137    	4.215003e-02	7.584122e-04	1.716807e-04	8.369879e-04	1.678213e-03	9.944260e-01
0.00918537    	1.294288e-02	7.206694e-04	1.527579e-04	7.284476e-04	1.843289e-04	7.336888e-01
0.00925929    	2.847629e-02	7.241037e-04	1.581257e-04	7.401489e-04	7.606141e-05	8.621745e-01
0.00933337    	1.964628e-02	7.111217e-04	1.536829e-04	7.269798e-04	7.421490e-05	5.659124e-01
0.00940688    	3.757963e-02	7.109232e-04	1.571486e-04	7.419398e-04	8.851621e-05	9.934599e-01
0.00948021    	4.060909e-02	6.990554e-04	1.576636e-04	7.350828e-04	9.446963e-05	9.836320e-01
0.00955332    	2.044460e-02	6.845380e-04	1.481019e-04	6.910041e-04	1.462274e-04	4.340255e-01
0.00962677    	3.867329e-02	6.901005e-04	1.560031e-04	7.306930e-04	7.261791e-05	2.872511e-01
0.00970037    	2.057719e-02	6.720044e-04	1.466209e-04	6.806874e-04	7.662597e-05	3.577052e-01
0.00977381    	7.413467e-02	7.132351e-04	1.711277e-04	8.274595e-04	1.043220e-04	9.978152e-01
0.00984747    	3.020670e-02	6.574862e-04	1.446639e-04	6.711304e-04	7.521563e-05	4.599420e-01
0.00992117    	4.009793e-02	6.655374e-04	1.504345e-04	7.140028e-04	1.156185e-03	8.741996e-01
0.00999466    	2.792804e-02	6.466493e-04	1.429601e-04	6.678747e-04	7.177170e-05	2.330890e-01
0.0100681     	4.596505e-02	6.533730e-04	1.482641e-04	6.963463e-04	3.388248e-03	9.999425e-01
0.0101411     	4.132340e-02	6.463487e-04	1.510393e-04	7.026000e-04	8.065405e-05	9.416660e-01
0.0102145     	2.030982e-02	6.279741e-04	1.401046e-04	6.435231e-04	7.412661e-05	4.088585e-01
0.0102878     	4.003031e-02	6.248076e-04	1.416637e-04	6.550571e-04	1.519908e-04	9.979046e-01
0.0103611     	3.509220e-02	6.182513e-04	1.394894e-04	6.408021e-04	9.936214e-05	2.839496e-01
0.0104344     	2.248399e-02	5.990185e-04	1.331648e-04	6.132522e-04	8.178212e-05	3.009203e-01
0.0105075     	1.053505e-02	5.946564e-04	1.300487e-04	5.982620e-04	6.776234e-05	9.938389e-01
0.0105813     	3.453236e-02	6.019806e-04	1.357867e-04	6.266565e-04	1.739600e-04	5.709010e-01
0.0106544     	2.024554e-02	5.883868e-04	1.336756e-04	6.121106e-04	6.770598e-05	9.633642e-01
0.0107279     	8.430646e-03	5.774570e-04	1.271912e-04	5.878968e-04	8.784881e-05	4.078107e-01
0.0108013     	4.086864e-02	5.879398e-04	1.348936e-04	6.252296e-04	5.510713e-04	9.099094e-01
0.0108746     	1.339049e-02	5.708561e-04	1.267515e-04	5.876958e-04	7.600018e-05	9.277772e-02
0.0109475     	9.254614e-03	5.641732e-04	1.249760e-04	5.774794e-04	6.795752e-05	1.706042e-01
0.0110209     	1.549472e-02	5.603250e-04	1.255105e-04	5.807894e-04	1.854517e-04	9.021426e-01
0.0110942     	1.179667e-02	5.572815e-04	1.240556e-04	5.727688e-04	7.112297e-05	1.436917e-01
0.0111673     	1.961136e-02	5.463697e-04	1.229804e-04	5.726237e-04	6.891521e-05	3.655589e-01
0.01124       	1.024360e-02	5.420057e-04	1.205693e-04	5.578308e-04	1.000568e-04	4.419134e-01
0.0113134     	1.799417e-02	5.510035e-04	1.273453e-04	5.896989e-04	7.816364e-05	9.947895e-01
0.0113865     	5.780625e-03	5.283220e-04	1.176856e-04	5.437675e-04	6.684528e-05	1.522477e-01
0.0114601     	2.988367e-03	5.329627e-04	1.182715e-04	5.486739e-04	6.709976e-05	6.361349e-01
0.0115332     	1.019033e-02	5.252529e-04	1.175066e-04	5.442998e-04	7.360200e-05	2.209727e-01
0.0116074     	9.041374e-03	5.282636e-04	1.183049e-04	5.514284e-04	7.201162e-05	1.503300e-02
0.0116819     	8.830593e-03	5.330004e-04	1.190962e-04	5.546316e-04	8.216384e-05	5.902674e-01
0.0117561     	7.852055e-03	5.180653e-04	1.168422e-04	5.435807e-04	7.977199e-05	1.057251e-01
0.0118306     	8.564966e-03	5.134712e-04	1.158773e-04	5.396841e-04	6.872764e-05	3.582548e-01
0.011905      	4.183711e-03	5.119144e-04	1.147644e-04	5.337901e-04	7.012203e-05	1.324714e-01
0.0119801     	7.371336e-03	5.116363e-04	1.152279e-04	5.366450e-04	7.049826e-05	1.505409e-01
0.012055      	4.111647e-03	5.061515e-04	1.140289e-04	5.319301e-04	7.155865e-05	8.040594e-01
0.0121301     	3.720873e-03	5.063936e-04	1.144576e-04	5.324598e-04	7.246311e-05	5.623884e-02
0.0122056     	1.169044e-02	5.080517e-04	1.153361e-04	5.391544e-04	7.890426e-05	1.556369e-01
0.0122808     	4.116949e-03	4.959331e-04	1.122191e-04	5.207157e-04	7.599884e-05	4.656308e-01
0.0123561     	3.757613e-03	4.974386e-04	1.124465e-04	5.219939e-04	7.190365e-05	2.757913e-03
0.0124318     	7.145024e-03	4.978875e-04	1.133337e-04	5.250111e-04	8.131080e-05	4.525768e-02
0.0125079     	2.784321e-03	4.953005e-04	1.118271e-04	5.177162e-04	7.538480e-05	2.614339e-02
0.0125842     	2.018427e-03	4.943362e-04	1.114985e-04	5.155703e-04	7.492978e-05	1.158651e-02
0.0126608     	2.490677e-03	4.946419e-04	1.113253e-04	5.142919e-04	7.465764e-05	5.617193e-03
0.0127378     	2.401012e-03	4.946096e-04	1.118324e-04	5.183364e-04	7.742413e-05	1.043234e-01
0.0128151     	2.098071e-03	4.934734e-04	1.107771e-04	5.109414e-04	7.738840e-05	2.766978e-03
0.0128926     	1.802594e-03	4.928583e-04	1.104648e-04	5.089423e-04	7.755143e-05	6.458578e-03
0.0129702     	2.855522e-03	4.922922e-04	1.101990e-04	5.067593e-04	7.885646e-05	1.608920e-02
0.0130481     	1.531741e-03	4.900439e-04	1.095364e-04	5.021028e-04	7.842715e-05	5.929686e-03
0.0131256     	3.280591e-03	4.882709e-04	1.093246e-04	5.006100e-04	8.802115e-05	7.616377e-02
0.0132032     	1.512456e-03	4.888767e-04	1.091157e-04	4.964829e-04	7.819421e-05	1.562385e-03
