# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	propellerTip	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.014850e-05	propellerTip	(-8.567766e+00 -1.806800e+01 -4.511797e+01)	(8.668973e+00 1.198464e+01 4.510997e+01)
9.883637e-05	propellerTip	(-9.563483e+00 -1.861619e+01 -4.436853e+01)	(9.690778e+00 1.010880e+01 4.436005e+01)
1.534940e-04	propellerTip	(-1.021920e+01 -1.995808e+01 -4.418228e+01)	(1.036980e+01 9.260397e+00 4.416091e+01)
2.115043e-04	propellerTip	(-1.059169e+01 -2.081646e+01 -4.409532e+01)	(1.075888e+01 8.915394e+00 4.408098e+01)
2.710423e-04	propellerTip	(-1.081103e+01 -2.120510e+01 -4.396072e+01)	(1.100395e+01 8.948047e+00 4.392160e+01)
3.327664e-04	propellerTip	(-1.094423e+01 -2.169697e+01 -4.378119e+01)	(1.113281e+01 8.958174e+00 4.578775e+01)
3.973694e-04	propellerTip	(-1.158610e+01 -2.090819e+01 -4.447359e+01)	(1.126242e+01 1.008792e+01 4.490708e+01)
4.630683e-04	propellerTip	(-1.075678e+01 -2.147901e+01 -4.379378e+01)	(1.113144e+01 8.871037e+00 4.419469e+01)
5.299994e-04	propellerTip	(-1.116826e+01 -2.519485e+01 -4.594862e+01)	(1.128651e+01 9.199947e+00 4.380385e+01)
5.968417e-04	propellerTip	(-1.012560e+01 -2.086597e+01 -4.532365e+01)	(1.059895e+01 8.950826e+00 4.924570e+01)
6.631310e-04	propellerTip	(-1.067051e+01 -2.120357e+01 -4.328144e+01)	(1.081122e+01 8.771490e+00 4.406566e+01)
7.287179e-04	propellerTip	(-1.072800e+01 -2.023571e+01 -4.317963e+01)	(1.021254e+01 2.028086e+01 4.193610e+01)
7.937261e-04	propellerTip	(-1.076904e+01 -1.996013e+01 -4.321090e+01)	(1.060709e+01 8.799500e+00 4.279428e+01)
8.578616e-04	propellerTip	(-1.070808e+01 -1.927006e+01 -4.341345e+01)	(1.131548e+01 9.345174e+00 4.355396e+01)
9.207104e-04	propellerTip	(-1.054393e+01 -1.908129e+01 -4.844470e+01)	(1.042020e+01 8.628973e+00 4.933254e+01)
9.814364e-04	propellerTip	(-1.068094e+01 -1.916923e+01 -4.487963e+01)	(1.052668e+01 8.674436e+00 4.459553e+01)
1.040397e-03	propellerTip	(-1.043792e+01 -1.804046e+01 -4.406572e+01)	(1.078534e+01 9.884650e+00 4.615151e+01)
1.099036e-03	propellerTip	(-1.035209e+01 -1.891219e+01 -4.262500e+01)	(1.045581e+01 8.591176e+00 4.319697e+01)
1.157615e-03	propellerTip	(-1.054855e+01 -1.965383e+01 -4.386640e+01)	(1.042774e+01 8.849062e+00 4.302621e+01)
1.216392e-03	propellerTip	(-1.056401e+01 -1.729915e+01 -4.673505e+01)	(1.043581e+01 8.660528e+00 4.285610e+01)
1.275413e-03	propellerTip	(-1.053735e+01 -1.875948e+01 -4.696044e+01)	(9.847926e+00 8.774334e+00 4.246653e+01)
