# y+ ()       
# Time        	patch         	min           	max           	average       
0             	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0             	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0             	propellerTip	0.000000e+00	0.000000e+00	0.000000e+00
5.01485e-05   	innerCylinder	1.325494e-01	1.573520e+01	3.791106e+00
5.01485e-05   	innerCylinder_slave	7.594515e-02	1.386133e+01	3.650313e+00
5.01485e-05   	propellerTip	2.533772e+00	3.278802e+02	4.516223e+01
9.88364e-05   	innerCylinder	1.445017e-01	1.781420e+01	4.198796e+00
9.88364e-05   	innerCylinder_slave	8.171495e-02	1.558978e+01	4.045957e+00
9.88364e-05   	propellerTip	2.599573e+00	3.239046e+02	4.227061e+01
0.000153494   	innerCylinder	1.577385e-01	2.023839e+01	4.636941e+00
0.000153494   	innerCylinder_slave	8.735544e-02	1.773023e+01	4.469745e+00
0.000153494   	propellerTip	2.418657e+00	3.228402e+02	4.000328e+01
0.000211504   	innerCylinder	1.733665e-01	2.277276e+01	5.081471e+00
0.000211504   	innerCylinder_slave	9.282571e-02	2.002293e+01	4.898788e+00
0.000211504   	propellerTip	2.909959e+00	3.221257e+02	3.803672e+01
0.000271042   	innerCylinder	1.850899e-01	2.522170e+01	5.518918e+00
0.000271042   	innerCylinder_slave	9.846353e-02	2.235320e+01	5.320650e+00
0.000271042   	propellerTip	2.512382e+00	3.217622e+02	3.639003e+01
0.000332766   	innerCylinder	1.912114e-01	2.755773e+01	5.950663e+00
0.000332766   	innerCylinder_slave	1.043441e-01	2.471554e+01	5.736786e+00
0.000332766   	propellerTip	1.736807e+00	3.215161e+02	3.502689e+01
0.000397369   	innerCylinder	1.977148e-01	2.977074e+01	6.381567e+00
0.000397369   	innerCylinder_slave	1.104466e-01	2.704015e+01	6.152211e+00
0.000397369   	propellerTip	1.547571e+00	3.224958e+02	3.406568e+01
0.000463068   	innerCylinder	2.043782e-01	3.207408e+01	6.798934e+00
0.000463068   	innerCylinder_slave	1.163059e-01	2.919123e+01	6.554669e+00
0.000463068   	propellerTip	1.090395e+00	3.215896e+02	3.346782e+01
0.000529999   	innerCylinder	2.111981e-01	3.433969e+01	7.208590e+00
0.000529999   	innerCylinder_slave	1.219532e-01	3.112398e+01	6.948731e+00
0.000529999   	propellerTip	1.783099e+00	3.144522e+02	3.323350e+01
0.000596842   	innerCylinder	2.179306e-01	3.629720e+01	7.598062e+00
0.000596842   	innerCylinder_slave	1.272279e-01	3.276779e+01	7.321955e+00
0.000596842   	propellerTip	2.288048e+00	3.206158e+02	3.321526e+01
0.000663131   	innerCylinder	2.245676e-01	3.805995e+01	7.970458e+00
0.000663131   	innerCylinder_slave	1.321970e-01	3.423889e+01	7.677763e+00
0.000663131   	propellerTip	2.085273e+00	3.209376e+02	3.320534e+01
0.000728718   	innerCylinder	2.311468e-01	3.971545e+01	8.329664e+00
0.000728718   	innerCylinder_slave	1.368515e-01	3.558152e+01	8.018254e+00
0.000728718   	propellerTip	2.001656e+00	3.247015e+02	3.352711e+01
0.000793726   	innerCylinder	2.376454e-01	4.119307e+01	8.671021e+00
