# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0.100003      	((-1.340913e-02 7.608506e+00 -2.481791e-03) (1.424524e-04 -2.420277e-02 8.804957e-05)) ((-3.773112e-03 -1.572476e-01 -2.035736e-03) (-5.970278e-06 1.770262e-03 -3.572018e-06))
0.100009      	((-1.883330e-02 1.854295e+01 -4.919216e-03) (8.815937e-05 6.750773e-03 5.630320e-05)) ((-4.543261e-03 -4.737534e-01 -2.518062e-03) (-7.157527e-06 4.085780e-04 -4.355027e-06))
0.100015      	((-9.403672e-03 -3.277656e+00 -8.433474e-05) (8.658978e-05 5.960715e-03 5.592634e-05)) ((-3.440222e-03 1.637045e-01 -1.713409e-03) (-6.782626e-06 4.405802e-04 -4.046211e-06))
0.100022      	((-1.371005e-02 7.176320e+00 -2.220110e-03) (8.840274e-05 5.998955e-03 5.712426e-05)) ((-3.937770e-03 -1.418919e-01 -2.064451e-03) (-6.952448e-06 4.396902e-04 -4.097869e-06))
0.100028      	((-1.403308e-02 7.605675e+00 -2.231511e-03) (8.979680e-05 6.014902e-03 5.781644e-05)) ((-4.095562e-03 -1.567746e-01 -2.113850e-03) (-6.992952e-06 4.393918e-04 -4.082443e-06))
0.100034      	((-1.392268e-02 7.616992e+00 -2.091657e-03) (9.090672e-05 6.024110e-03 5.839229e-05)) ((-4.119772e-03 -1.573170e-01 -2.101915e-03) (-7.053963e-06 4.392193e-04 -4.075977e-06))
0.100041      	((-1.411857e-02 7.616751e+00 -2.085009e-03) (9.199971e-05 6.029900e-03 5.887719e-05)) ((-4.190691e-03 -1.573873e-01 -2.113601e-03) (-7.112132e-06 4.391348e-04 -4.067588e-06))
0.100047      	((-1.418371e-02 7.615051e+00 -1.986556e-03) (9.298662e-05 6.034540e-03 5.935207e-05)) ((-4.247124e-03 -1.573680e-01 -2.117799e-03) (-7.180560e-06 4.390950e-04 -4.063343e-06))
0.100053      	((-1.435409e-02 7.613572e+00 -1.927988e-03) (9.393717e-05 6.038155e-03 5.980352e-05)) ((-4.326475e-03 -1.573512e-01 -2.132521e-03) (-7.251146e-06 4.390711e-04 -4.059235e-06))
0.10006       	((-1.442524e-02 7.612026e+00 -1.842725e-03) (9.484482e-05 6.041304e-03 6.024464e-05)) ((-4.387887e-03 -1.573211e-01 -2.137565e-03) (-7.326168e-06 4.390565e-04 -4.056367e-06))
0.100066      	((-1.457328e-02 7.610659e+00 -1.767425e-03) (9.572524e-05 6.043873e-03 6.069379e-05)) ((-4.461988e-03 -1.572988e-01 -2.148071e-03) (-7.402388e-06 4.390442e-04 -4.053353e-06))
0.100072      	((-1.466231e-02 7.609408e+00 -1.691765e-03) (9.657823e-05 6.046093e-03 6.111366e-05)) ((-4.526581e-03 -1.572731e-01 -2.153181e-03) (-7.477249e-06 4.390338e-04 -4.048637e-06))
0.100078      	((-1.480041e-02 7.608203e+00 -1.604079e-03) (9.742595e-05 6.047848e-03 6.153479e-05)) ((-4.599628e-03 -1.572505e-01 -2.161671e-03) (-7.549163e-06 4.390240e-04 -4.041636e-06))
0.100085      	((-1.489173e-02 7.607044e+00 -1.520188e-03) (9.827746e-05 6.049359e-03 6.194412e-05)) ((-4.666080e-03 -1.572256e-01 -2.166217e-03) (-7.618731e-06 4.390140e-04 -4.032673e-06))
0.100091      	((-1.501871e-02 7.605872e+00 -1.441980e-03) (9.910880e-05 6.050538e-03 6.234542e-05)) ((-4.737411e-03 -1.572036e-01 -2.172578e-03) (-7.690423e-06 4.390039e-04 -4.024072e-06))
0.100097      	((-1.515229e-02 7.604776e+00 -1.368768e-03) (9.994369e-05 6.051538e-03 6.273777e-05)) ((-4.807828e-03 -1.571805e-01 -2.177818e-03) (-7.763978e-06 4.389939e-04 -4.015534e-06))
0.100104      	((-1.525872e-02 7.603676e+00 -1.276962e-03) (1.008071e-04 6.052279e-03 6.314763e-05)) ((-4.877351e-03 -1.571595e-01 -2.182006e-03) (-7.841668e-06 4.389846e-04 -4.008316e-06))
0.10011       	((-1.536361e-02 7.602686e+00 -1.198833e-03) (1.016892e-04 6.052892e-03 6.353768e-05)) ((-4.946224e-03 -1.571395e-01 -2.185137e-03) (-7.920691e-06 4.389739e-04 -4.001111e-06))
0.100116      	((-1.546935e-02 7.601671e+00 -1.104553e-03) (1.026075e-04 6.053319e-03 6.388313e-05)) ((-5.016479e-03 -1.571207e-01 -2.188322e-03) (-8.001532e-06 4.389617e-04 -3.994187e-06))
0.100123      	((-1.560756e-02 7.600701e+00 -1.023857e-03) (1.036232e-04 6.053694e-03 6.414857e-05)) ((-5.091270e-03 -1.571006e-01 -2.192999e-03) (-8.084111e-06 4.389506e-04 -3.987527e-06))
0.100129      	((-1.572665e-02 7.599712e+00 -9.439350e-04) (1.047602e-04 6.053908e-03 6.435106e-05)) ((-5.164639e-03 -1.570816e-01 -2.196471e-03) (-8.167868e-06 4.389411e-04 -3.980783e-06))
0.100135      	((-1.583260e-02 7.598829e+00 -8.575608e-04) (1.060139e-04 6.054079e-03 6.452299e-05)) ((-5.238872e-03 -1.570637e-01 -2.199470e-03) (-8.248205e-06 4.389366e-04 -3.971959e-06))
0.100142      	((-1.598898e-02 7.597893e+00 -7.931201e-04) (1.073551e-04 6.054169e-03 6.461753e-05)) ((-5.318097e-03 -1.570458e-01 -2.204375e-03) (-8.329030e-06 4.389361e-04 -3.962684e-06))
0.100148      	((-1.612024e-02 7.596944e+00 -6.577617e-04) (1.087466e-04 6.054231e-03 6.465689e-05)) ((-5.394932e-03 -1.570267e-01 -2.207208e-03) (-8.412612e-06 4.389402e-04 -3.953917e-06))
