# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.664535e-15 -6.039613e-14 -1.598721e-14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.524419e-06 -2.505057e-05 -4.544243e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-3.318209e-04 1.107747e+02 5.270236e-02) (1.383643e-05 7.936046e-03 -3.177252e-05)) ((-1.428218e-03 -3.138440e+00 3.532388e-03) (-2.423741e-07 -7.462070e-04 8.992293e-07))
1.3495e-05    	((3.182921e-03 1.011127e+01 1.597084e-02) (1.201000e-05 7.105083e-03 -4.019086e-05)) ((-5.400971e-06 -2.560428e-01 5.116201e-03) (-2.146094e-07 -7.184935e-04 1.159949e-07))
1.73176e-05   	((2.833785e-03 9.738354e+00 1.256407e-02) (9.111892e-06 6.275553e-03 -4.295880e-05)) ((-5.038701e-06 -2.320820e-01 2.939141e-03) (-1.949644e-07 -6.466024e-04 -6.020979e-07))
2.12807e-05   	((2.142103e-03 9.728200e+00 8.851614e-03) (7.780721e-06 5.739742e-03 -4.652692e-05)) ((-8.156414e-06 -2.255645e-01 1.847229e-03) (-1.520626e-07 -5.813343e-04 -8.993737e-07))
2.53095e-05   	((1.838199e-03 9.719392e+00 8.013283e-03) (7.353585e-06 5.373698e-03 -5.012923e-05)) ((-1.125752e-05 -2.209901e-01 1.440246e-03) (-1.210764e-07 -5.222601e-04 -8.447140e-07))
2.93829e-05   	((1.744291e-03 9.731017e+00 8.825085e-03) (7.280232e-06 5.119048e-03 -5.298148e-05)) ((-2.209355e-05 -2.179841e-01 1.400609e-03) (-1.071534e-07 -4.684307e-04 -7.549803e-07))
3.35043e-05   	((1.761293e-03 9.737094e+00 6.063361e-03) (6.917779e-06 4.937824e-03 -5.654420e-05)) ((6.248006e-06 -2.153453e-01 1.203303e-03) (-1.023033e-07 -4.189050e-04 -7.018169e-07))
3.76806e-05   	((1.504425e-03 9.735315e+00 3.466169e-03) (6.565627e-06 4.808729e-03 -5.925071e-05)) ((3.724009e-05 -2.128850e-01 8.324824e-04) (-9.522809e-08 -3.733367e-04 -6.947294e-07))
4.19161e-05   	((1.412141e-03 9.732459e+00 3.799596e-03) (6.579974e-06 4.721573e-03 -6.167070e-05)) ((3.167448e-05 -2.106242e-01 6.994914e-04) (-1.008706e-07 -3.313881e-04 -5.789997e-07))
4.62146e-05   	((1.397663e-03 9.715802e+00 3.510110e-03) (6.639882e-06 4.664429e-03 -6.310686e-05)) ((4.164489e-05 -2.082924e-01 6.678261e-04) (-1.037407e-07 -2.926849e-04 -4.577672e-07))
