# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	omega         
0.100003      	N/A           	N/A           	N/A           	N/A           	N/A           	N/A           
0.100066      	7.266063e-03	5.328009e-04	1.748750e-04	5.053638e-04	2.446924e-08	8.407600e-25
0.100129      	6.599142e-03	5.327720e-04	1.748542e-04	5.056124e-04	2.446924e-08	8.407600e-25
0.100192      	6.765798e-03	5.329836e-04	1.748338e-04	5.061849e-04	2.446924e-08	8.407600e-25
0.100256      	6.378213e-03	5.331702e-04	1.749376e-04	5.068306e-04	2.446924e-08	8.407600e-25
0.100319      	6.353718e-03	5.335325e-04	1.751054e-04	5.078628e-04	2.446924e-08	8.407600e-25
0.100383      	6.313790e-03	5.339438e-04	1.752480e-04	5.090174e-04	2.446924e-08	8.407600e-25
0.100446      	6.109447e-03	5.340769e-04	1.753456e-04	5.100796e-04	2.446924e-08	8.407600e-25
0.10051       	6.183942e-03	5.340145e-04	1.753482e-04	5.108328e-04	2.446924e-08	8.407600e-25
0.100574      	6.126810e-03	5.338751e-04	1.753678e-04	5.115738e-04	2.446924e-08	8.407600e-25
0.100637      	6.185153e-03	5.334105e-04	1.752551e-04	5.121836e-04	2.446924e-08	8.407600e-25
0.100701      	5.792532e-03	5.330440e-04	1.751539e-04	5.126512e-04	2.446924e-08	8.407600e-25
0.100765      	6.033147e-03	5.320910e-04	1.748215e-04	5.128908e-04	2.446924e-08	8.407600e-25
0.100828      	6.004382e-03	5.313580e-04	1.746580e-04	5.129690e-04	2.446924e-08	8.407600e-25
0.100892      	6.254568e-03	5.305273e-04	1.743205e-04	5.131064e-04	2.446924e-08	8.407600e-25
0.100955      	6.218806e-03	5.297020e-04	1.740726e-04	5.131692e-04	2.446924e-08	8.407600e-25
0.101019      	6.310767e-03	5.288538e-04	1.738746e-04	5.131504e-04	2.446924e-08	8.407600e-25
0.101082      	6.120588e-03	5.280776e-04	1.736295e-04	5.131923e-04	2.446924e-08	8.407600e-25
0.101145      	6.328965e-03	5.274804e-04	1.734672e-04	5.132918e-04	2.446924e-08	8.407600e-25
0.101209      	6.350179e-03	5.269996e-04	1.733623e-04	5.134380e-04	2.446924e-08	8.407600e-25
0.101272      	6.936915e-03	5.265275e-04	1.732561e-04	5.135798e-04	2.446924e-08	8.407600e-25
0.101335      	6.720678e-03	5.260594e-04	1.732019e-04	5.135990e-04	2.446924e-08	8.407600e-25
0.101399      	6.709164e-03	5.259147e-04	1.732336e-04	5.138123e-04	2.446924e-08	8.407600e-25
0.101462      	6.946387e-03	5.261318e-04	1.734380e-04	5.144738e-04	2.446924e-08	8.407600e-25
0.101526      	7.064180e-03	5.263474e-04	1.736327e-04	5.150836e-04	2.446924e-08	8.407600e-25
0.101589      	7.602296e-03	5.269988e-04	1.740464e-04	5.159975e-04	2.446924e-08	8.407600e-25
0.101653      	7.390936e-03	5.275524e-04	1.744506e-04	5.170044e-04	2.446924e-08	8.407600e-25
0.101717      	7.652512e-03	5.282303e-04	1.749091e-04	5.180557e-04	2.446924e-08	8.407600e-25
0.101781      	7.406354e-03	5.288598e-04	1.753507e-04	5.190900e-04	2.446924e-08	8.407600e-25
0.101845      	7.650861e-03	5.293648e-04	1.757807e-04	5.199463e-04	2.446924e-08	8.407600e-25
0.101909      	7.555245e-03	5.279012e-04	1.756530e-04	5.189597e-04	2.446924e-08	8.407600e-25
0.101973      	7.314013e-03	5.247614e-04	1.748137e-04	5.162184e-04	2.446924e-08	8.407600e-25
0.102036      	7.259168e-03	5.232568e-04	1.745319e-04	5.148863e-04	2.446924e-08	8.407600e-25
0.1021        	6.917847e-03	5.232346e-04	1.747122e-04	5.150316e-04	2.446924e-08	8.407600e-25
0.102163      	6.869643e-03	5.240647e-04	1.750954e-04	5.161384e-04	2.446924e-08	8.407600e-25
0.102227      	6.374328e-03	5.255888e-04	1.756894e-04	5.175373e-04	2.446924e-08	8.407600e-25
0.102291      	6.596672e-03	5.277242e-04	1.764328e-04	5.197351e-04	2.446924e-08	8.407600e-25
0.102356      	6.403055e-03	5.291386e-04	1.768914e-04	5.213465e-04	2.446924e-08	8.407600e-25
0.10242       	6.316705e-03	5.282413e-04	1.764287e-04	5.205017e-04	2.446924e-08	8.407600e-25
0.102484      	6.219239e-03	5.271504e-04	1.758724e-04	5.192155e-04	2.446924e-08	8.407600e-25
0.102548      	5.958471e-03	5.260578e-04	1.752546e-04	5.178515e-04	2.446924e-08	8.407600e-25
0.102612      	6.142890e-03	5.246932e-04	1.745765e-04	5.165824e-04	2.446924e-08	8.407600e-25
0.102676      	6.282892e-03	5.234752e-04	1.739527e-04	5.152848e-04	2.446924e-08	8.407600e-25
0.10274       	6.461948e-03	5.226784e-04	1.733890e-04	5.143448e-04	2.446924e-08	8.407600e-25
0.102803      	6.278411e-03	5.222023e-04	1.729821e-04	5.137160e-04	2.446924e-08	8.407600e-25
0.102867      	1.060364e-02	5.218275e-04	1.725957e-04	5.134441e-04	2.446924e-08	8.407600e-25
0.102931      	6.318826e-03	5.216661e-04	1.723616e-04	5.131771e-04	2.446924e-08	8.407600e-25
0.102995      	6.302716e-03	5.214879e-04	1.721065e-04	5.129161e-04	2.446924e-08	8.407600e-25
0.103058      	6.158021e-03	5.213091e-04	1.717645e-04	5.125161e-04	2.446924e-08	8.407600e-25
0.103122      	5.987690e-03	5.208735e-04	1.715053e-04	5.120421e-04	2.446924e-08	8.407600e-25
0.103186      	5.929180e-03	5.204241e-04	1.712158e-04	5.115187e-04	2.446924e-08	8.407600e-25
0.103249      	6.218803e-03	5.197267e-04	1.709218e-04	5.106878e-04	2.446924e-08	8.407600e-25
0.103313      	6.115238e-03	5.189477e-04	1.706020e-04	5.097303e-04	2.446924e-08	8.407600e-25
0.103376      	6.471638e-03	5.180078e-04	1.703528e-04	5.085988e-04	2.446924e-08	8.407600e-25
0.10344       	6.281693e-03	5.169612e-04	1.700146e-04	5.074581e-04	2.446924e-08	8.407600e-25
0.103503      	6.618304e-03	5.160151e-04	1.697213e-04	5.062456e-04	2.446924e-08	8.407600e-25
0.103566      	6.755620e-03	5.150756e-04	1.694530e-04	5.052486e-04	2.446924e-08	8.407600e-25
0.10363       	6.660782e-03	5.143523e-04	1.691916e-04	5.043284e-04	2.446924e-08	8.407600e-25
0.103693      	6.923211e-03	5.135444e-04	1.690444e-04	5.034583e-04	2.446924e-08	8.407600e-25
0.103756      	7.115813e-03	5.131706e-04	1.689713e-04	5.028878e-04	2.446924e-08	8.407600e-25
0.103819      	7.318799e-03	5.125271e-04	1.688714e-04	5.022276e-04	2.446924e-08	8.407600e-25
0.103882      	7.326927e-03	5.118986e-04	1.687500e-04	5.016153e-04	2.446924e-08	8.407600e-25
0.103945      	6.922694e-03	5.112326e-04	1.686979e-04	5.010282e-04	2.446924e-08	8.407600e-25
0.104008      	6.955760e-03	5.106386e-04	1.686583e-04	5.004920e-04	2.446924e-08	8.407600e-25
0.104071      	6.895968e-03	5.099217e-04	1.685821e-04	4.999113e-04	2.446924e-08	8.407600e-25
0.104134      	6.744033e-03	5.091757e-04	1.684932e-04	4.994575e-04	2.446924e-08	8.407600e-25
0.104197      	6.679351e-03	5.081698e-04	1.683468e-04	4.988217e-04	2.446924e-08	8.407600e-25
0.10426       	7.006465e-03	5.071041e-04	1.681484e-04	4.983100e-04	2.446924e-08	8.407600e-25
0.104323      	6.516564e-03	5.064680e-04	1.681013e-04	4.981320e-04	2.446924e-08	8.407600e-25
0.104386      	6.376465e-03	5.058112e-04	1.679727e-04	4.979136e-04	2.446924e-08	8.407600e-25
0.104449      	6.346807e-03	5.053234e-04	1.678848e-04	4.978779e-04	2.446924e-08	8.407600e-25
0.104512      	5.933220e-03	5.046428e-04	1.677559e-04	4.979125e-04	2.446924e-08	8.407600e-25
0.104575      	6.143086e-03	5.042207e-04	1.676684e-04	4.981897e-04	2.446924e-08	8.407600e-25
0.104638      	5.876653e-03	5.035801e-04	1.675733e-04	4.984138e-04	2.446924e-08	8.407600e-25
0.104701      	6.232196e-03	5.027983e-04	1.674278e-04	4.984972e-04	2.446924e-08	8.407600e-25
0.104764      	6.031239e-03	5.018491e-04	1.672573e-04	4.985185e-04	2.446924e-08	8.407600e-25
0.104827      	5.947014e-03	5.011230e-04	1.671522e-04	4.988134e-04	2.446924e-08	8.407600e-25
0.104889      	5.875698e-03	5.004002e-04	1.669653e-04	4.991337e-04	2.446924e-08	8.407600e-25
0.104952      	5.678204e-03	4.995487e-04	1.668584e-04	4.994738e-04	2.446924e-08	8.407600e-25
0.105015      	6.897221e-03	4.987323e-04	1.666272e-04	4.999043e-04	2.446924e-08	8.407600e-25
0.105078      	5.902274e-03	4.985692e-04	1.667443e-04	5.004091e-04	2.446924e-08	8.407600e-25
0.105141      	5.973958e-03	4.983362e-04	1.666826e-04	5.011284e-04	2.446924e-08	8.407600e-25
0.105204      	5.872761e-03	4.980809e-04	1.668359e-04	5.017027e-04	2.446924e-08	8.407600e-25
0.105267      	5.857433e-03	4.979387e-04	1.667944e-04	5.024899e-04	2.446924e-08	8.407600e-25
0.10533       	5.742981e-03	4.977687e-04	1.669158e-04	5.031569e-04	2.446924e-08	8.407600e-25
0.105393      	5.983721e-03	4.976250e-04	1.668775e-04	5.038391e-04	2.446924e-08	8.407600e-25
0.105456      	5.945164e-03	4.976117e-04	1.670292e-04	5.045169e-04	2.446924e-08	8.407600e-25
0.10552       	6.350945e-03	4.976741e-04	1.672036e-04	5.052428e-04	2.446924e-08	8.407600e-25
0.105583      	6.242221e-03	4.978074e-04	1.672816e-04	5.060399e-04	2.446924e-08	8.407600e-25
0.105646      	6.482497e-03	4.980570e-04	1.674906e-04	5.067173e-04	2.446924e-08	8.407600e-25
0.10571       	6.548474e-03	4.984203e-04	1.677432e-04	5.076742e-04	2.446924e-08	8.407600e-25
0.105774      	6.650333e-03	4.988887e-04	1.680236e-04	5.085638e-04	2.446924e-08	8.407600e-25
0.105838      	6.864319e-03	4.994207e-04	1.683729e-04	5.095049e-04	2.446924e-08	8.407600e-25
0.105902      	7.252417e-03	5.000374e-04	1.687255e-04	5.104114e-04	2.446924e-08	8.407600e-25
0.105966      	7.279703e-03	5.004884e-04	1.691084e-04	5.112820e-04	2.446924e-08	8.407600e-25
0.10603       	7.163676e-03	5.009066e-04	1.694030e-04	5.118195e-04	2.446924e-08	8.407600e-25
0.106094      	7.427877e-03	5.011198e-04	1.697576e-04	5.122339e-04	2.446924e-08	8.407600e-25
0.106159      	7.254636e-03	5.009713e-04	1.699377e-04	5.123034e-04	2.446924e-08	8.407600e-25
0.106223      	7.287791e-03	5.004256e-04	1.700217e-04	5.120581e-04	2.446924e-08	8.407600e-25
0.106288      	7.318459e-03	4.999601e-04	1.701671e-04	5.116820e-04	2.446924e-08	8.407600e-25
0.106352      	7.047972e-03	4.993958e-04	1.702428e-04	5.111338e-04	2.446924e-08	8.407600e-25
0.106417      	6.767414e-03	4.986102e-04	1.701257e-04	5.102788e-04	2.446924e-08	8.407600e-25
0.106481      	6.512434e-03	4.980754e-04	1.701172e-04	5.096688e-04	2.446924e-08	8.407600e-25
0.106545      	6.530313e-03	4.977589e-04	1.701206e-04	5.090516e-04	2.446924e-08	8.407600e-25
0.10661       	6.228774e-03	4.974396e-04	1.700869e-04	5.085569e-04	2.446924e-08	8.407600e-25
0.106674      	6.531243e-03	4.969210e-04	1.698557e-04	5.078945e-04	2.446924e-08	8.407600e-25
