# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	omega         
0             	N/A           	N/A           	N/A           	N/A           	N/A           	N/A           
4.62146e-05   	3.300352e-02	1.048321e-02	3.437451e-04	1.126472e-02	6.799672e-04	7.621825e-05
9.23077e-05   	2.175080e-02	9.938346e-03	3.263179e-04	1.035584e-02	4.608364e-04	8.066344e-05
0.000143059   	1.876965e-02	9.256428e-03	3.288366e-04	9.462741e-03	3.468417e-04	9.830773e-05
0.000197018   	1.654465e-02	8.489567e-03	3.359176e-04	8.508682e-03	2.745588e-04	1.334825e-04
0.000253108   	1.367649e-02	7.726772e-03	3.441969e-04	7.635309e-03	2.172546e-04	1.078441e-04
0.00031052    	1.383523e-02	7.055561e-03	3.550581e-04	6.898903e-03	2.561541e-04	1.248808e-02
0.000368627   	2.761634e-02	6.493003e-03	3.699611e-04	6.335958e-03	9.364467e-03	9.989866e-01
0.000426989   	1.231613e-02	5.896207e-03	3.743109e-04	5.670268e-03	1.323583e-04	2.980429e-04
0.000485388   	4.296894e-02	5.622996e-03	3.987072e-04	5.397665e-03	2.277211e-03	9.776004e-01
0.000543605   	4.120464e-02	5.253269e-03	4.130335e-04	5.003325e-03	2.751639e-03	9.987078e-01
0.000601525   	6.420545e-02	4.956992e-03	4.306994e-04	4.740249e-03	3.240099e-03	9.237861e-01
0.000659083   	5.185436e-02	4.566560e-03	4.358613e-04	4.300664e-03	1.051454e-01	9.987563e-01
0.000716254   	5.814482e-02	4.334458e-03	4.529482e-04	4.074028e-03	3.056087e-04	8.625700e-01
0.000773009   	1.214764e-01	4.479678e-03	5.094058e-04	4.193234e-03	7.709099e-03	9.993472e-01
0.000829316   	1.012213e-01	4.079748e-03	5.031611e-04	3.819289e-03	4.707919e-02	9.997543e-01
0.000885193   	1.226378e-01	4.059851e-03	5.294833e-04	3.804026e-03	2.979757e-03	9.999984e-01
0.000940675   	8.889114e-02	3.805332e-03	5.342451e-04	3.507491e-03	9.600815e-04	9.999872e-01
0.000995859   	1.205452e-01	3.682137e-03	5.512589e-04	3.448868e-03	3.463978e-03	9.981165e-01
0.00105079    	8.431990e-02	3.423988e-03	5.414171e-04	3.181819e-03	2.305829e-02	9.996834e-01
0.00110559    	1.030135e-01	3.357265e-03	5.722688e-04	3.204680e-03	6.961353e-03	9.983614e-01
0.00116031    	9.679749e-02	3.215583e-03	5.841781e-04	3.059847e-03	2.995144e-04	9.987916e-01
0.0012149     	7.723739e-02	3.052873e-03	5.741885e-04	2.834127e-03	6.366563e-04	9.995327e-01
0.00126928    	3.788316e-02	2.832927e-03	5.558354e-04	2.684233e-03	9.737452e-04	9.910445e-01
0.00132344    	1.377972e-01	3.115544e-03	6.334771e-04	2.931871e-03	6.249991e-01	9.999795e-01
0.00137734    	6.962278e-02	2.768619e-03	5.800281e-04	2.620502e-03	4.038248e-05	9.976151e-01
0.00143125    	9.559273e-02	2.884501e-03	6.386002e-04	2.710384e-03	4.752539e-03	9.969587e-01
0.00148538    	8.282136e-02	2.649977e-03	6.064506e-04	2.531009e-03	2.667122e-01	9.983810e-01
0.00153971    	1.160433e-01	2.835427e-03	6.640051e-04	2.611105e-03	6.807999e-03	1.000000e+00
0.00159407    	1.681925e-01	3.447243e-03	7.602092e-04	2.778296e-03	1.701279e-03	1.000000e+00
0.00164813    	2.343601e-01	3.710423e-03	8.250331e-04	3.081071e-03	2.446924e-08	1.000000e+00
0.0017019     	1.214220e-02	2.111918e-03	5.486453e-04	2.198930e-03	2.446924e-08	8.407569e-25
0.0017558     	1.079010e-02	2.048669e-03	5.547042e-04	2.160228e-03	2.446924e-08	8.407569e-25
0.00180998    	1.016174e-02	2.009920e-03	5.608989e-04	2.120045e-03	2.446924e-08	8.407569e-25
0.00186445    	9.823333e-03	1.982069e-03	5.656605e-04	2.073650e-03	2.446924e-08	8.407569e-25
0.00191918    	9.620334e-03	1.962003e-03	5.693760e-04	2.027092e-03	2.446924e-08	8.407569e-25
0.00197413    	9.716151e-03	1.951364e-03	5.725881e-04	1.986085e-03	2.446924e-08	8.407569e-25
0.00202931    	9.979102e-03	1.948197e-03	5.753852e-04	1.951049e-03	2.446924e-08	8.407569e-25
0.00208469    	1.009289e-02	1.949363e-03	5.780965e-04	1.923593e-03	2.446924e-08	8.407569e-25
0.0021402     	1.017168e-02	1.954298e-03	5.814534e-04	1.904675e-03	2.446924e-08	8.407569e-25
0.0021958     	8.821108e-03	1.957925e-03	5.825553e-04	1.887149e-03	2.446924e-08	8.407569e-25
0.0022515     	9.758604e-03	1.957353e-03	5.849795e-04	1.878416e-03	2.446924e-08	8.407569e-25
0.00230736    	9.705976e-03	1.954898e-03	5.891098e-04	1.874578e-03	2.446924e-08	8.407569e-25
0.00236342    	9.922448e-03	1.939121e-03	5.932535e-04	1.879571e-03	2.446924e-08	8.407569e-25
0.00241969    	9.857051e-03	1.909484e-03	5.981467e-04	1.884578e-03	2.446924e-08	8.407569e-25
0.00247618    	9.755564e-03	1.878646e-03	6.043973e-04	1.895858e-03	2.446924e-08	8.407569e-25
0.00253285    	1.021841e-02	1.846757e-03	6.080016e-04	1.909688e-03	2.446924e-08	8.407569e-25
0.00258968    	1.028910e-02	1.822130e-03	6.137700e-04	1.926673e-03	2.446924e-08	8.407569e-25
0.00264662    	1.023635e-02	1.799395e-03	6.199077e-04	1.938748e-03	2.446924e-08	8.407569e-25
0.00270359    	1.032087e-02	1.774755e-03	6.222442e-04	1.946690e-03	2.446924e-08	8.407569e-25
0.00276052    	1.053523e-02	1.751409e-03	6.281527e-04	1.943334e-03	2.446924e-08	8.407569e-25
0.00281739    	1.043261e-02	1.728371e-03	6.315322e-04	1.928937e-03	2.446924e-08	8.407569e-25
0.00287416    	1.108179e-02	1.702582e-03	6.358454e-04	1.909708e-03	2.446924e-08	8.407569e-25
0.00293082    	1.106106e-02	1.675256e-03	6.419208e-04	1.888688e-03	2.446924e-08	8.407569e-25
0.00298737    	1.120465e-02	1.651798e-03	6.479728e-04	1.875144e-03	2.446924e-08	8.407569e-25
0.00304383    	1.130585e-02	1.627501e-03	6.558025e-04	1.862750e-03	2.446924e-08	8.407569e-25
0.00310015    	1.108313e-02	1.604531e-03	6.648496e-04	1.853670e-03	2.446924e-08	8.407569e-25
0.00315634    	1.071365e-02	1.583648e-03	6.738411e-04	1.847869e-03	2.446924e-08	8.407569e-25
0.00321238    	1.098529e-02	1.563394e-03	6.837182e-04	1.842819e-03	2.446924e-08	8.407569e-25
0.00326827    	1.070056e-02	1.546063e-03	6.926256e-04	1.838616e-03	2.446924e-08	8.407569e-25
0.003324      	1.086461e-02	1.530038e-03	7.045369e-04	1.830212e-03	2.446924e-08	8.407569e-25
0.00337961    	1.064138e-02	1.516999e-03	7.168678e-04	1.824465e-03	2.446924e-08	8.407569e-25
0.00343511    	1.096791e-02	1.502012e-03	7.229723e-04	1.810177e-03	2.446924e-08	8.407569e-25
0.0034905     	1.069180e-02	1.488300e-03	7.294054e-04	1.788059e-03	2.446924e-08	8.407569e-25
0.00354578    	1.053724e-02	1.473046e-03	7.342104e-04	1.762435e-03	2.446924e-08	8.407569e-25
0.00360099    	1.026550e-02	1.457456e-03	7.346102e-04	1.734802e-03	2.446924e-08	8.407569e-25
0.00365612    	9.765376e-03	1.440590e-03	7.300473e-04	1.706076e-03	2.446924e-08	8.407569e-25
0.00371125    	9.885597e-03	1.422600e-03	7.174387e-04	1.676082e-03	2.446924e-08	8.407569e-25
0.00376645    	1.005111e-02	1.407528e-03	6.984356e-04	1.647477e-03	2.446924e-08	8.407569e-25
0.00382183    	1.005790e-02	1.391274e-03	6.740800e-04	1.618485e-03	2.446924e-08	8.407569e-25
0.00387758    	1.000745e-02	1.379036e-03	6.518862e-04	1.592420e-03	2.446924e-08	8.407569e-25
0.00393392    	1.033090e-02	1.371563e-03	6.170247e-04	1.572725e-03	2.446924e-08	8.407569e-25
0.00399107    	1.055625e-02	1.367780e-03	5.834676e-04	1.557429e-03	2.446924e-08	8.407569e-25
0.0040492     	1.084273e-02	1.366524e-03	5.487698e-04	1.547969e-03	2.446924e-08	8.407569e-25
0.00410838    	1.100446e-02	1.369353e-03	5.167935e-04	1.544445e-03	2.446924e-08	8.407569e-25
0.00416888    	1.123630e-02	1.380836e-03	4.867768e-04	1.552744e-03	2.446924e-08	8.407569e-25
0.00423083    	1.143847e-02	1.394514e-03	4.586151e-04	1.568348e-03	2.446924e-08	8.407569e-25
0.00429433    	1.841583e-02	1.413831e-03	4.344285e-04	1.589379e-03	2.446924e-08	8.407569e-25
0.00435912    	1.151384e-02	1.421989e-03	4.116728e-04	1.599038e-03	2.446924e-08	8.407569e-25
0.00442461    	1.177534e-02	1.424253e-03	3.911447e-04	1.596468e-03	2.446924e-08	8.407569e-25
0.00449024    	1.137869e-02	1.420809e-03	3.653719e-04	1.581895e-03	2.446924e-08	8.407569e-25
0.00455563    	1.136975e-02	1.416805e-03	3.485339e-04	1.563057e-03	2.446924e-08	8.407569e-25
0.00462049    	1.091964e-02	1.409553e-03	3.305411e-04	1.535820e-03	2.446924e-08	8.407569e-25
0.0046848     	1.109020e-02	1.409484e-03	3.162215e-04	1.514149e-03	2.446924e-08	8.407569e-25
0.00474865    	1.109910e-02	1.413249e-03	3.042920e-04	1.493377e-03	2.446924e-08	8.407569e-25
0.00481213    	1.137194e-02	1.420190e-03	2.928956e-04	1.478889e-03	2.446924e-08	8.407569e-25
0.00487538    	1.117954e-02	1.427855e-03	2.849942e-04	1.466700e-03	2.446924e-08	8.407569e-25
0.00493844    	1.155978e-02	1.433187e-03	2.762212e-04	1.454058e-03	2.446924e-08	8.407569e-25
0.00500137    	1.141996e-02	1.437946e-03	2.697876e-04	1.442397e-03	2.446924e-08	8.407569e-25
0.00506418    	1.146216e-02	1.443377e-03	2.628002e-04	1.429300e-03	2.446924e-08	8.407569e-25
0.00512691    	1.178737e-02	1.448821e-03	2.577850e-04	1.417645e-03	2.446924e-08	8.407569e-25
0.00518956    	1.237092e-02	1.453024e-03	2.530288e-04	1.407588e-03	2.446924e-08	8.407569e-25
0.00525213    	1.242951e-02	1.455330e-03	2.478356e-04	1.397213e-03	2.446924e-08	8.407569e-25
0.00531463    	1.221432e-02	1.455790e-03	2.457264e-04	1.385401e-03	2.446924e-08	8.407569e-25
0.00537704    	1.223265e-02	1.455481e-03	2.405290e-04	1.372989e-03	2.446924e-08	8.407569e-25
0.00543934    	1.226032e-02	1.452506e-03	2.367458e-04	1.360604e-03	2.446924e-08	8.407569e-25
0.00550152    	1.197801e-02	1.448641e-03	2.334348e-04	1.349014e-03	2.446924e-08	8.407569e-25
0.00556356    	1.165512e-02	1.442668e-03	2.301681e-04	1.338748e-03	2.446924e-08	8.407569e-25
0.00562545    	1.185355e-02	1.437015e-03	2.263323e-04	1.328370e-03	2.446924e-08	8.407569e-25
0.0056872     	1.213015e-02	1.428730e-03	2.235636e-04	1.319430e-03	2.446924e-08	8.407569e-25
0.0057488     	1.186172e-02	1.416866e-03	2.212197e-04	1.310281e-03	2.446924e-08	8.407569e-25
0.00581025    	1.131881e-02	1.404277e-03	2.180718e-04	1.302331e-03	2.446924e-08	8.407569e-25
0.00587156    	1.125879e-02	1.389754e-03	2.155850e-04	1.296458e-03	2.446924e-08	8.407569e-25
0.00593274    	1.115676e-02	1.375428e-03	2.128641e-04	1.291415e-03	2.446924e-08	8.407569e-25
0.00599382    	1.123751e-02	1.362093e-03	2.116110e-04	1.288786e-03	2.446924e-08	8.407569e-25
0.0060548     	1.110327e-02	1.348557e-03	2.087677e-04	1.286717e-03	2.446924e-08	8.407569e-25
0.00611569    	1.102261e-02	1.335052e-03	2.080141e-04	1.285533e-03	2.446924e-08	8.407569e-25
0.00617651    	1.088321e-02	1.322145e-03	2.066348e-04	1.286277e-03	2.446924e-08	8.407569e-25
0.00623728    	1.074162e-02	1.307312e-03	2.042104e-04	1.286559e-03	2.446924e-08	8.407569e-25
0.00629804    	1.131781e-02	1.292773e-03	2.025086e-04	1.285937e-03	2.446924e-08	8.407569e-25
0.00635878    	1.118728e-02	1.278697e-03	2.022862e-04	1.284181e-03	2.446924e-08	8.407569e-25
0.00641949    	1.043085e-02	1.266532e-03	2.028562e-04	1.282415e-03	2.446924e-08	8.407569e-25
0.00648019    	9.953874e-03	1.253029e-03	2.008592e-04	1.278240e-03	2.446924e-08	8.407569e-25
0.0065409     	1.071235e-02	1.242054e-03	1.997796e-04	1.276536e-03	2.446924e-08	8.407569e-25
0.00660164    	1.103301e-02	1.230996e-03	1.982676e-04	1.273276e-03	2.446924e-08	8.407569e-25
0.00666237    	1.081798e-02	1.218906e-03	1.964924e-04	1.271010e-03	2.446924e-08	8.407569e-25
0.00672311    	1.109980e-02	1.203457e-03	1.954511e-04	1.268670e-03	2.446924e-08	8.407569e-25
0.00678385    	1.147357e-02	1.186848e-03	1.942073e-04	1.266744e-03	2.446924e-08	8.407569e-25
0.00684459    	1.155405e-02	1.170323e-03	1.929989e-04	1.265338e-03	2.446924e-08	8.407569e-25
0.00690532    	1.157642e-02	1.152956e-03	1.915907e-04	1.262839e-03	2.446924e-08	8.407569e-25
0.00696601    	1.187959e-02	1.135784e-03	1.901545e-04	1.260255e-03	2.446924e-08	8.407569e-25
0.00702668    	1.212946e-02	1.120828e-03	1.889242e-04	1.257529e-03	2.446924e-08	8.407569e-25
0.00708734    	1.247417e-02	1.106938e-03	1.877841e-04	1.254205e-03	2.446924e-08	8.407569e-25
0.00714796    	1.257780e-02	1.093953e-03	1.866059e-04	1.250541e-03	2.446924e-08	8.407569e-25
0.00720858    	1.258306e-02	1.082150e-03	1.855997e-04	1.247591e-03	2.446924e-08	8.407569e-25
0.00726922    	1.292106e-02	1.071640e-03	1.848042e-04	1.244338e-03	2.446924e-08	8.407569e-25
