# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             
0             	N/A           	N/A           	N/A           	N/A           	N/A           
4.95555e-05   	2.753089e-02	1.004417e-02	3.468274e-04	1.142527e-02	9.019134e-05
9.65949e-05   	1.529839e-02	9.128820e-03	3.276490e-04	1.014768e-02	8.709972e-05
0.000148559   	1.241858e-02	8.637959e-03	3.429563e-04	9.508387e-03	9.187732e-05
0.000204734   	9.979936e-03	7.954008e-03	3.561972e-04	8.633908e-03	9.523713e-05
0.000263291   	8.174333e-03	7.192635e-03	3.664533e-04	7.707982e-03	9.697286e-05
0.000323826   	7.616684e-03	6.654692e-03	3.854604e-04	7.051790e-03	1.005910e-04
0.000386333   	6.698867e-03	6.183489e-03	4.051295e-04	6.473804e-03	1.040178e-04
0.000450692   	6.190724e-03	5.806668e-03	4.280894e-04	6.010798e-03	1.072229e-04
0.000516493   	6.079378e-03	5.426143e-03	4.460056e-04	5.548663e-03	1.079360e-04
0.000582279   	6.004593e-03	5.002272e-03	4.538255e-04	5.036858e-03	1.054607e-04
0.000646827   	6.113462e-03	4.605370e-03	4.570822e-04	4.560245e-03	1.010995e-04
0.000710045   	5.706086e-03	4.279699e-03	4.601397e-04	4.154865e-03	9.676250e-05
0.000772102   	5.829111e-03	4.041654e-03	4.647634e-04	3.829610e-03	9.229425e-05
0.000833109   	5.377417e-03	3.804272e-03	4.662302e-04	3.522862e-03	8.832727e-05
0.000893273   	5.232503e-03	3.630840e-03	4.698175e-04	3.283629e-03	8.462090e-05
0.000952873   	5.496031e-03	3.494066e-03	4.740475e-04	3.082869e-03	8.135691e-05
0.00101195    	5.284188e-03	3.356933e-03	4.751942e-04	2.887869e-03	7.807648e-05
0.00107026    	5.292887e-03	3.227093e-03	4.742698e-04	2.701404e-03	7.457498e-05
0.00112733    	4.933100e-03	3.092006e-03	4.679331e-04	2.515306e-03	7.101827e-05
0.00118392    	4.890744e-03	3.007178e-03	4.676179e-04	2.380512e-03	6.888374e-05
0.00123999    	4.693190e-03	2.919562e-03	4.639708e-04	2.249551e-03	6.656917e-05
0.00129571    	4.967593e-03	2.854739e-03	4.614323e-04	2.152046e-03	6.462370e-05
0.00135144    	4.810757e-03	2.810012e-03	4.613165e-04	2.079563e-03	6.329755e-05
0.00140754    	4.799107e-03	2.778217e-03	4.624072e-04	2.030024e-03	6.209782e-05
0.00146419    	4.726488e-03	2.752238e-03	4.640301e-04	1.989908e-03	6.092812e-05
0.0015212     	4.724623e-03	2.709037e-03	4.620497e-04	1.938540e-03	5.950049e-05
0.00157846    	4.434027e-03	2.672402e-03	4.607888e-04	1.889692e-03	5.811207e-05
0.0016364     	4.720850e-03	2.673118e-03	4.667530e-04	1.870447e-03	5.773280e-05
0.00169562    	4.779222e-03	2.653091e-03	4.684892e-04	1.834028e-03	5.699620e-05
0.00175468    	4.537407e-03	2.592481e-03	4.623798e-04	1.769210e-03	5.537654e-05
0.00181401    	4.571504e-03	2.562447e-03	4.626429e-04	1.732784e-03	5.444875e-05
0.0018738     	4.647496e-03	2.537330e-03	4.621727e-04	1.696109e-03	5.390842e-05
0.00193411    	4.568968e-03	2.524625e-03	4.617736e-04	1.662786e-03	5.323738e-05
0.00199484    	4.515292e-03	2.520245e-03	4.601131e-04	1.628400e-03	5.235360e-05
0.00205592    	4.433508e-03	2.520174e-03	4.571212e-04	1.597355e-03	5.148808e-05
0.00211735    	4.474803e-03	2.535048e-03	4.548611e-04	1.575130e-03	5.050793e-05
0.00217911    	4.320911e-03	2.544028e-03	4.512630e-04	1.558873e-03	4.969875e-05
0.0022412     	4.596524e-03	2.545928e-03	4.495131e-04	1.550776e-03	4.898998e-05
0.00230359    	4.583339e-03	2.535315e-03	4.462149e-04	1.545465e-03	4.820788e-05
0.00236617    	4.380638e-03	2.498541e-03	4.434115e-04	1.538586e-03	4.760189e-05
0.00242877    	4.313681e-03	2.447311e-03	4.401288e-04	1.530175e-03	4.700261e-05
0.00249128    	4.177269e-03	2.398926e-03	4.367555e-04	1.515503e-03	4.655238e-05
0.00255347    	4.352817e-03	2.346413e-03	4.331032e-04	1.497289e-03	4.591662e-05
0.00261518    	4.239207e-03	2.289752e-03	4.288802e-04	1.473199e-03	4.499318e-05
0.00267644    	3.983176e-03	2.227558e-03	4.260179e-04	1.452415e-03	4.389493e-05
0.00273744    	4.116518e-03	2.169612e-03	4.253572e-04	1.436548e-03	4.351774e-05
0.00279833    	4.058226e-03	2.117412e-03	4.264954e-04	1.423620e-03	4.307987e-05
0.0028595     	3.907381e-03	2.075630e-03	4.308832e-04	1.419421e-03	4.274611e-05
0.00292064    	3.898123e-03	2.017566e-03	4.332357e-04	1.404127e-03	4.204314e-05
