# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	propellerTip	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.955550e-05	propellerTip	(-1.373177e+01 -2.229220e+01 -3.139372e+01)	(6.464314e+00 2.015159e+01 3.076460e+01)
9.659492e-05	propellerTip	(-1.368476e+01 -2.206308e+01 -1.992284e+01)	(6.206560e+00 1.458396e+01 2.090130e+01)
1.485587e-04	propellerTip	(-1.209610e+01 -2.147053e+01 -1.768471e+01)	(5.266769e+00 9.006678e+00 1.660821e+01)
2.047337e-04	propellerTip	(-1.067641e+01 -2.051656e+01 -1.559896e+01)	(4.106371e+00 6.061865e+00 1.532390e+01)
2.632915e-04	propellerTip	(-9.400261e+00 -1.956411e+01 -1.372765e+01)	(3.672535e+00 5.803760e+00 1.521097e+01)
3.238257e-04	propellerTip	(-8.308597e+00 -1.872214e+01 -1.206736e+01)	(3.750794e+00 5.753221e+00 1.504652e+01)
3.863330e-04	propellerTip	(-7.414490e+00 -1.799745e+01 -1.068983e+01)	(3.807734e+00 5.865188e+00 1.519258e+01)
4.506922e-04	propellerTip	(-6.667254e+00 -1.720901e+01 -1.093326e+01)	(4.061715e+00 6.091434e+00 1.541224e+01)
5.164927e-04	propellerTip	(-6.107362e+00 -1.642247e+01 -1.133826e+01)	(4.495882e+00 6.404620e+00 1.537195e+01)
5.822795e-04	propellerTip	(-5.675396e+00 -1.569009e+01 -1.186340e+01)	(4.993034e+00 6.803336e+00 1.530378e+01)
6.468265e-04	propellerTip	(-5.513043e+00 -1.506569e+01 -1.247053e+01)	(5.508119e+00 7.276397e+00 1.522780e+01)
7.100446e-04	propellerTip	(-6.026934e+00 -1.455676e+01 -1.310844e+01)	(6.020472e+00 7.775244e+00 1.514380e+01)
7.721023e-04	propellerTip	(-6.524092e+00 -1.414133e+01 -1.373986e+01)	(6.515049e+00 8.289988e+00 1.505134e+01)
8.331092e-04	propellerTip	(-6.992013e+00 -1.379270e+01 -1.435148e+01)	(6.979782e+00 8.817899e+00 1.494867e+01)
8.932729e-04	propellerTip	(-7.427626e+00 -1.348545e+01 -1.493270e+01)	(7.411797e+00 9.356458e+00 1.496143e+01)
9.528726e-04	propellerTip	(-7.837974e+00 -1.321366e+01 -1.548262e+01)	(7.818037e+00 9.898993e+00 1.550748e+01)
